Abstract;Year;abs
Interaction plays a significant role to foster usability and quality in online education. It is one of the quality standard to reveal the evidence of practice in online distance education models. This research study aims to evaluate levels of interaction in the practices of distance education centres. It is aimed to provide online distance education models through provided levels of interaction. Interaction and Satisfaction Survey was used in this study to collect quantitative data. This survey consists of personal information student-student interaction student-teacher interaction student-content interaction student-interface interaction and student satisfaction. In addition interview was conducted to gather qualitative data. This research study is significant by highlighting the importance of student satisfaction in order to catch quality in the online distance education models. In this respect this research study revealed that there is an intensified need to make aware learners teachers and other parties on student-student interaction student-teacher interaction student-content interaction student-interface interaction.;2017;ınteraction plays a significant role to foster usability and quality in online education. ıt is one of the quality standard to reveal the evidence of practice in online distance education models. this research study aims to evaluate levels of interaction in the practices of distance education centres. ıt is aimed to provide online distance education models through provided levels of interaction. ınteraction and satisfaction survey was used in this study to collect quantitative data. this survey consists of personal information student-student interaction student-teacher interaction student-content interaction student-interface interaction and student satisfaction. ın addition interview was conducted to gather qualitative data. this research study is significant by highlighting the importance of student satisfaction in order to catch quality in the online distance education models. ın this respect this research study revealed that there is an intensified need to make aware learners teachers and other parties on student-student interaction student-teacher interaction student-content interaction student-interface interaction.
Computers are widely used for educational purposes. Multimedia tools and simulations are mostly preferred for learning especially hard and complex structures in technical field and hardly realized experiments in laboratory environment. Besides supporting theoretical knowledge with practical applications is crucial in engineering education. But effects of negative conditions such as hardware deficiency (experimental gadgets measuring instruments etc.) in education environment high number of students less number of educators can be diminished with concepts which are distance education computer-aided education etc. In this study web-based educational tool which is oriented to signals and systems subjects/courses is realized. This tool provides learning of signals and systems subjects with its subject descriptions solved/unsolved problems animations simulations interactive simulators real-time applications general exams online communication/support and new educational strategy in easy simple and effective way. Usability and educational contribution of realized study was inspected with questionnaires which were filled anonymously by 110 students in Uludag University and assessed according to SUS and Likert scales.;2017;computers are widely used for educational purposes. multimedia tools and simulations are mostly preferred for learning especially hard and complex structures in technical field and hardly realized experiments in laboratory environment. besides supporting theoretical knowledge with practical applications is crucial in engineering education. but effects of negative conditions such as hardware deficiency (experimental gadgets measuring instruments etc.) in education environment high number of students less number of educators can be diminished with concepts which are distance education computer-aided education etc. ın this study web-based educational tool which is oriented to signals and systems subjects/courses is realized. this tool provides learning of signals and systems subjects with its subject descriptions solved/unsolved problems animations simulations interactive simulators real-time applications general exams online communication/support and new educational strategy in easy simple and effective way. usability and educational contribution of realized study was inspected with questionnaires which were filled anonymously by 110 students in uludag university and assessed according to sus and likert scales.
The purpose of this research is to determine the effect of a web based problem based school administrator training program (WB-PBSAT) on participants' self-efficacy beliefs and attitudes towards principalship. For this aim mixed approach combining quantitative and qualitative research approach was used in this study. The quantitative dimension was carried out with the experimental model. The focus group interviews were conducted in the qualitative dimension. An experimental group and a control group were used. Participants of the experimental and the control groups were determined by purposive sampling. According to the findings WB-PBSAT process was significantly and positively affected participants' attitudes towards general and professional self-efficacy beliefs and principalship. This result shows that the administrator training model used has the potential to make significant contributions in the professional development of school administrators.;2017;the purpose of this research is to determine the effect of a web based problem based school administrator training program (wb-pbsat) on participants' self-efficacy beliefs and attitudes towards principalship. for this aim mixed approach combining quantitative and qualitative research approach was used in this study. the quantitative dimension was carried out with the experimental model. the focus group interviews were conducted in the qualitative dimension. an experimental group and a control group were used. participants of the experimental and the control groups were determined by purposive sampling. according to the findings wb-pbsat process was significantly and positively affected participants' attitudes towards general and professional self-efficacy beliefs and principalship. this result shows that the administrator training model used has the potential to make significant contributions in the professional development of school administrators.
As companies are driven to reshape their established practices with the impact of advancements in information and communication technologies corporate training emerges as a distinct area requiring technological transformation. This exploratory study aims to examine the attitudes of a sample of 106 of the top 500 corporations in Turkey regarding the usage of e-learning for corporate training. Findings show that most of these firms currently have a hesitant attitude toward this development. Through factor analysis the main advantages for using e-learning in corporate training have been classified as employee commitment and motivation convenience and accessibility customization and outsourcing and cost effectiveness while the disadvantages have been grouped as personal and organizational. Consequently attitudinal differences toward e-learning between companies have been explored according to two scale-related variables (employee size and company revenue) and two variables about organizational readiness (the existence of a Learning & Education Department and the current use of e-learning). (C) 2017 Elsevier Ltd. All rights reserved.;2017;as companies are driven to reshape their established practices with the impact of advancements in information and communication technologies corporate training emerges as a distinct area requiring technological transformation. this exploratory study aims to examine the attitudes of a sample of 106 of the top 500 corporations in turkey regarding the usage of e-learning for corporate training. findings show that most of these firms currently have a hesitant attitude toward this development. through factor analysis the main advantages for using e-learning in corporate training have been classified as employee commitment and motivation convenience and accessibility customization and outsourcing and cost effectiveness while the disadvantages have been grouped as personal and organizational. consequently attitudinal differences toward e-learning between companies have been explored according to two scale-related variables (employee size and company revenue) and two variables about organizational readiness (the existence of a learning & education department and the current use of e-learning). (c) 2017 elsevier ltd. all rights reserved.
It is possible to define Computational Thinking briefly as having the knowledge skill and attitudes necessary to be able to use the computers in the solution of the life problems for production purposes. In this study a scale has been developed for the purpose of determining the levels of computational thinking skills (CTS) of the students. CTS is a five-point likert type scale and consists of 29 items that could be collected under five factors. The study group of this work consists of 726 students educated at the levels of associate degree and undergraduate degree with formal education in Amasya University for the first application. For the second application 580 students who were educated in pedagogical formation education via distance education in Amasya University. The validity and reliability of the scale have been studied by conducting exploratory factor analysis confirmatory factor analysis item distinctiveness analyses internal consistency coefficients and constancy analyses. As a result of the conducted analyses it has been concluded that the scale is a valid and reliable measurement tool that could measure the computational thinking skills of the students. In addition the digital age individuals are expected to have the computational thinking skill and at what degree they have these skills the revelation of whether the levels they have are sufficient or not are a requirement. Within this frame it could be said that the scale could make significant contributions to the literature. (C) 2017 Elsevier Ltd. All rights reserved.;2017;ıt is possible to define computational thinking briefly as having the knowledge skill and attitudes necessary to be able to use the computers in the solution of the life problems for production purposes. ın this study a scale has been developed for the purpose of determining the levels of computational thinking skills (cts) of the students. cts is a five-point likert type scale and consists of 29 items that could be collected under five factors. the study group of this work consists of 726 students educated at the levels of associate degree and undergraduate degree with formal education in amasya university for the first application. for the second application 580 students who were educated in pedagogical formation education via distance education in amasya university. the validity and reliability of the scale have been studied by conducting exploratory factor analysis confirmatory factor analysis item distinctiveness analyses internal consistency coefficients and constancy analyses. as a result of the conducted analyses it has been concluded that the scale is a valid and reliable measurement tool that could measure the computational thinking skills of the students. ın addition the digital age individuals are expected to have the computational thinking skill and at what degree they have these skills the revelation of whether the levels they have are sufficient or not are a requirement. within this frame it could be said that the scale could make significant contributions to the literature. (c) 2017 elsevier ltd. all rights reserved.
The aim of this study is to reveal Open Education related social media usage in Turkey through social network analyses. To this end the most widely used social media network in Turkey Facebook was chosen. All the pages and groups created on Facebook related to Open Education were found. A total of 207 groups and 521 pages were accessed and entered into the social network analysis. Within the scope of this study the density and centrality features of the network were analyzed for groups whereas the density centrality and degrees features of the network were analyzed for pages. The study's results revealed that while pages and groups related to programs emphasizing current job opportunities and student support services were more actively used commercial accounts attempted to exploit students' exam anxiety instead of generating actual content. The findings also revealed that well structured institutional pages appeal to students and have the potential to reach high levels of popular in short periods of time.;2017;the aim of this study is to reveal open education related social media usage in turkey through social network analyses. to this end the most widely used social media network in turkey facebook was chosen. all the pages and groups created on facebook related to open education were found. a total of 207 groups and 521 pages were accessed and entered into the social network analysis. within the scope of this study the density and centrality features of the network were analyzed for groups whereas the density centrality and degrees features of the network were analyzed for pages. the study's results revealed that while pages and groups related to programs emphasizing current job opportunities and student support services were more actively used commercial accounts attempted to exploit students' exam anxiety instead of generating actual content. the findings also revealed that well structured institutional pages appeal to students and have the potential to reach high levels of popular in short periods of time.
The present study aimed to investigate the efficiency level of digital teaching materials for higher education programs. The present study had a mixed research methodology to gather in-depth and rich context. Twenty participants were chosen from a distance education program of the Pedagogical Formation (2014-2015) at Near East University in Nicosia in North Cyprus. The sample of the present study was selected by using the purposeful sampling method. The participants who took the course (instructional technology and material design) half of them used electronic sources and the other half used traditional sources during the distance education. The participants' answers were categorized into who was taking distance education with digital materials and who was taking distance education with non-digital materials. The results indicate that the participants were aware of the facilities of using e-books and they were content with the facilities of using an electronic book. The participants' view show that using electronic book has function on being successful and interactive in their education. At the same time using electronic book provide chances to students reach multiple sources. Thus the participants' answers in qualitative data also indicate that using multimedia is necessity to increase level of motivation students in their study and using electronic book and electronic sources provide unlimited learning platforms for students. Thus students' level of attention and permanent learning are increased.;2017;the present study aimed to investigate the efficiency level of digital teaching materials for higher education programs. the present study had a mixed research methodology to gather in-depth and rich context. twenty participants were chosen from a distance education program of the pedagogical formation (2014-2015) at near east university in nicosia in north cyprus. the sample of the present study was selected by using the purposeful sampling method. the participants who took the course (instructional technology and material design) half of them used electronic sources and the other half used traditional sources during the distance education. the participants' answers were categorized into who was taking distance education with digital materials and who was taking distance education with non-digital materials. the results indicate that the participants were aware of the facilities of using e-books and they were content with the facilities of using an electronic book. the participants' view show that using electronic book has function on being successful and interactive in their education. at the same time using electronic book provide chances to students reach multiple sources. thus the participants' answers in qualitative data also indicate that using multimedia is necessity to increase level of motivation students in their study and using electronic book and electronic sources provide unlimited learning platforms for students. thus students' level of attention and permanent learning are increased.
To fully understand the phenomenon of massive open online courses (MOOCs) it is important to identify and map trends and patterns in research on MOOCs. This study does so by reviewing 362 empirical articles published in peer-reviewed journals from 2008 to 2015. For the purpose of this study content analysis and discourse analysis were employed to analyze the articles. Accordingly the trend line showing the number of articles per year indicates that the extent of research on MOOCs is likely to increase in the coming years. In terms of research areas the findings reveal an imbalance and three research areas out of fifteen constitute more than half of all research on MOOCs. With regard to types of MOOCs related literature is dominated by research on xMOOCs. The discourse in MOOC articles takes a mostly neutral standpoint articles with a positive outlook outweigh those that are negative and there is an increase in a more critical discourse. Theoretical or conceptual studies are preferred by researchers although MOOC research generally does not benefit from being viewed through theoretical or conceptual lenses.;2017;to fully understand the phenomenon of massive open online courses (moocs) it is important to identify and map trends and patterns in research on moocs. this study does so by reviewing 362 empirical articles published in peer-reviewed journals from 2008 to 2015. for the purpose of this study content analysis and discourse analysis were employed to analyze the articles. accordingly the trend line showing the number of articles per year indicates that the extent of research on moocs is likely to increase in the coming years. ın terms of research areas the findings reveal an imbalance and three research areas out of fifteen constitute more than half of all research on moocs. with regard to types of moocs related literature is dominated by research on xmoocs. the discourse in mooc articles takes a mostly neutral standpoint articles with a positive outlook outweigh those that are negative and there is an increase in a more critical discourse. theoretical or conceptual studies are preferred by researchers although mooc research generally does not benefit from being viewed through theoretical or conceptual lenses.
Social media is a Web 2.0 platform that allows to share content and information without the limitations of time and space. Social media networks have managed to become a part of today's lifestyle and are increasingly gaining importance when viewed from a state perspective. Sentiment analysis refers to the use of natural language processing text analysis and computational linguistics to identify and extract subjective information in source materials. In this study we focus on social media mining and sentiment analysis for students of an open and distance education system. Anadolu University which has approximately two million students and more than two million graduates is a well-known institution in Turkey that offers higher education through contemporary distance education model. Firstly we have fetched Tweets related to Anadolu University open and distance education system. To perform sentiment analysis these tweets were analysed by statistical and data mining techniques. Finally results were visualized.;2017;social media is a web 2.0 platform that allows to share content and information without the limitations of time and space. social media networks have managed to become a part of today's lifestyle and are increasingly gaining importance when viewed from a state perspective. sentiment analysis refers to the use of natural language processing text analysis and computational linguistics to identify and extract subjective information in source materials. ın this study we focus on social media mining and sentiment analysis for students of an open and distance education system. anadolu university which has approximately two million students and more than two million graduates is a well-known institution in turkey that offers higher education through contemporary distance education model. firstly we have fetched tweets related to anadolu university open and distance education system. to perform sentiment analysis these tweets were analysed by statistical and data mining techniques. finally results were visualized.
The educational timetabling problem has been extensively investigated in timetabling literature. However the problem of assigning exams to examination buildings has not been studied intensively by researchers. We were inspired by Open and Distance Education System exams of Anadolu University. Anadolu University Open and Distance Education System which is used by approximately two millions of students and has more than two millions of graduates is a well-known institution in Turkey. In this study we propose a multi-objective mathematical model for multisession exam-building assignment problem. Objective functions of this model are to minimize the distance between consecutive session buildings for a given student to maximize the number of occupants of buildings in every session and to minimize the variety of booklets for building in every session. Mathematical model has been found inadequate because students-examination building assignment in the Anadolu University Open Education system is a large size real life problem. Starting from this point of view an order-based multi-objective heuristic algorithm is developed to solve this problem. The solutions obtained by the proposed algorithm are compared with the solution obtained by the mathematical modelling and the current state of the existing system.;2017;the educational timetabling problem has been extensively investigated in timetabling literature. however the problem of assigning exams to examination buildings has not been studied intensively by researchers. we were inspired by open and distance education system exams of anadolu university. anadolu university open and distance education system which is used by approximately two millions of students and has more than two millions of graduates is a well-known institution in turkey. ın this study we propose a multi-objective mathematical model for multisession exam-building assignment problem. objective functions of this model are to minimize the distance between consecutive session buildings for a given student to maximize the number of occupants of buildings in every session and to minimize the variety of booklets for building in every session. mathematical model has been found inadequate because students-examination building assignment in the anadolu university open education system is a large size real life problem. starting from this point of view an order-based multi-objective heuristic algorithm is developed to solve this problem. the solutions obtained by the proposed algorithm are compared with the solution obtained by the mathematical modelling and the current state of the existing system.
Provinces that vary by socioeconomic levels in Turkey are among the main starting points of planned development. Meanwhile one of the most important indicators considered in determining differences in development is education. Anadolu University clearly has a very important place in Turkey's higher education system with its Open and Distance Education System. Therefore we aim in our study to investigate how socioeconomic development affects provincial demand for an open education system. First we perform analyses over 81 provinces. However we thought the demand in Istanbul Ankara and Izmir to have a special place and excluded them to perform analyses over the remaining 78 provinces using the developmental index of 2012. We evaluated 48 different regression models statistically and using four different regression techniques created these models by dividing them into four classes: linear nonparametric generalized linear and generalized nonparametric. The relations in the models between education and development are examined not only as a parametric and linear relationship but also as a nonparametric and nonlinear relationship. We found a positive nonparametric and nonlinear relationship for the demand for the Open and Distance Education System with the provincial socioeconomic developmental levels.;2017;provinces that vary by socioeconomic levels in turkey are among the main starting points of planned development. meanwhile one of the most important indicators considered in determining differences in development is education. anadolu university clearly has a very important place in turkey's higher education system with its open and distance education system. therefore we aim in our study to investigate how socioeconomic development affects provincial demand for an open education system. first we perform analyses over 81 provinces. however we thought the demand in ıstanbul ankara and ızmir to have a special place and excluded them to perform analyses over the remaining 78 provinces using the developmental index of 2012. we evaluated 48 different regression models statistically and using four different regression techniques created these models by dividing them into four classes: linear nonparametric generalized linear and generalized nonparametric. the relations in the models between education and development are examined not only as a parametric and linear relationship but also as a nonparametric and nonlinear relationship. we found a positive nonparametric and nonlinear relationship for the demand for the open and distance education system with the provincial socioeconomic developmental levels.
The aim of this study was to study the effect of web-based teaching video packages on medical students' satisfaction during gross anatomy education. The objective was to test the hypothesis that individual preference which can be related to learning style influences individual utilization of the video packages developed specifically for the undergraduate medical curriculum. Web-based teaching video packages consisting of Closed Circuit Audiovisual System and Distance Education of Anatomy were prepared. 54 informative application videos each lasting an average 12 min competent with learning objectives have been prepared. 300 young adults of the medical school on applied anatomy education were evaluated in terms of their course content exam performance and perceptions. A survey was conducted to determine the difference between the students who did not use teaching packages with those who used it during or after the lecture. A mean of 150 hits for each student per year was indicated. Academic performance of anatomy has been an increase of 10 points. Positive effects of the video packages on anatomy education have manifested on the survey conducted on students. The survey was compiled under twenty different items including effectiveness providing education opportunity and affecting learning positively. Additionally the difference was remarkable that the positive ideas of the second year students on learning were statistically significant from that of the third year students. Web-based video packages are helpful definitive easily accessible and affordable which enable students with different pace of learning to reach information simultaneously in equal conditions and increase the learning activity in crowded group lectures in cadaver labs. We conclude that personality/learning preferences of individual students influence their use of video packages in the medical curriculum.;2017;the aim of this study was to study the effect of web-based teaching video packages on medical students' satisfaction during gross anatomy education. the objective was to test the hypothesis that individual preference which can be related to learning style influences individual utilization of the video packages developed specifically for the undergraduate medical curriculum. web-based teaching video packages consisting of closed circuit audiovisual system and distance education of anatomy were prepared. 54 informative application videos each lasting an average 12 min competent with learning objectives have been prepared. 300 young adults of the medical school on applied anatomy education were evaluated in terms of their course content exam performance and perceptions. a survey was conducted to determine the difference between the students who did not use teaching packages with those who used it during or after the lecture. a mean of 150 hits for each student per year was indicated. academic performance of anatomy has been an increase of 10 points. positive effects of the video packages on anatomy education have manifested on the survey conducted on students. the survey was compiled under twenty different items including effectiveness providing education opportunity and affecting learning positively. additionally the difference was remarkable that the positive ideas of the second year students on learning were statistically significant from that of the third year students. web-based video packages are helpful definitive easily accessible and affordable which enable students with different pace of learning to reach information simultaneously in equal conditions and increase the learning activity in crowded group lectures in cadaver labs. we conclude that personality/learning preferences of individual students influence their use of video packages in the medical curriculum.
This study proposed a theoretical model explaining causal relationships between student participation and academic achievement through their learning analytics in a web-based distance education course testing it using structural equation modeling (SEM) with an empirical dataset. The sample was composed of 167 university students enrolled in the Department of Computer Programming in the Distance Education Vocational School at a major state university in Turkey. Student participation was operationalized through learning analytics of the number of submissions to discussion forums and attendance to online lectures whereas academic achievement was represented by students' performance on their project assignments and final exam. The results of the SEM analysis indicated that the modified version of the model had a good fit with the data (x(2)=2.52 df=1 p>.05 x(2)/df=2.52 GFI=.99 CFI=.99 RMSEA=.09 SRMR=.03). Discussion forum submission and online lecture attendance were found to be positively associated with each other. They had a positive direct effect on students' project scores and a positive indirect effect on students' final exam scores via their project scores. Moreover discussion forum submission was found to have a direct positive effect on students' final exam scores. Practical implications and suggestions for further research are discussed within the context of online learning.;2017;this study proposed a theoretical model explaining causal relationships between student participation and academic achievement through their learning analytics in a web-based distance education course testing it using structural equation modeling (sem) with an empirical dataset. the sample was composed of 167 university students enrolled in the department of computer programming in the distance education vocational school at a major state university in turkey. student participation was operationalized through learning analytics of the number of submissions to discussion forums and attendance to online lectures whereas academic achievement was represented by students' performance on their project assignments and final exam. the results of the sem analysis indicated that the modified version of the model had a good fit with the data (x(2)=2.52 df=1 p>.05 x(2)/df=2.52 gfı=.99 cfı=.99 rmsea=.09 srmr=.03). discussion forum submission and online lecture attendance were found to be positively associated with each other. they had a positive direct effect on students' project scores and a positive indirect effect on students' final exam scores via their project scores. moreover discussion forum submission was found to have a direct positive effect on students' final exam scores. practical implications and suggestions for further research are discussed within the context of online learning.
The rapid development of technology from day to day has manifested itself also in the field of education and therefore it has become compulsory to include new regulations in education. In this fast-paced development technology is coming into prominence both in distance education and traditional education. In this context the technological organization established has an important role in the emergence of success perception. Since computer has begun to be used in the field of education in addition to traditional education the distance education has become in a more effective and productive education for foreign language learners. In this study the distance learning traditional education teaching environments and perception of organizing as academic achievement are explained. The study has been carried out in a private university in the academic year of 2016-2017. The aim of this study is to evaluate the perception of success between distance education and traditional education in the foreign language education. This study examined the perceptions of administrators lecturers and students towards the distance learning and traditional learning in order to evaluate the academic success of organizing in foreign language learning. The qualitative data analysis was used in this study. Administrators and students reported that they were prepared to facilitate individual study and improve their work skills with distance learning in the foreign language learning but that the lecturers were not in the same position with the administrators and students in distance education.;2017;the rapid development of technology from day to day has manifested itself also in the field of education and therefore it has become compulsory to include new regulations in education. ın this fast-paced development technology is coming into prominence both in distance education and traditional education. ın this context the technological organization established has an important role in the emergence of success perception. since computer has begun to be used in the field of education in addition to traditional education the distance education has become in a more effective and productive education for foreign language learners. ın this study the distance learning traditional education teaching environments and perception of organizing as academic achievement are explained. the study has been carried out in a private university in the academic year of 2016-2017. the aim of this study is to evaluate the perception of success between distance education and traditional education in the foreign language education. this study examined the perceptions of administrators lecturers and students towards the distance learning and traditional learning in order to evaluate the academic success of organizing in foreign language learning. the qualitative data analysis was used in this study. administrators and students reported that they were prepared to facilitate individual study and improve their work skills with distance learning in the foreign language learning but that the lecturers were not in the same position with the administrators and students in distance education.
Aircraft maintenance is one of the primary causes or contributing factors in aircraft accidents. It is clear that proper training of Aircraft Maintenance Technicians (AMTs) will avoid failures reduce maintenance related accidents improve safety and reliability in aviation and provide recovery of the increasing demand to qualified AMTs for sustainability of the market growth. In this study European Safety Agency (EASA) based AMT licencing system in EU states (and non-EU states implementing EASA rules) has been analysed and a training model developed in accordance with EASA Part-66 requirements and delivered by e-learning methods has been introduced. The analysis of the licensing process based on EASA regulations showed that this process was based on the candidate's demonstration of knowledge and acquisition of experience. The required experience depends on the training background of the candidate. Field exercise showed that developed e-learning training model which overcomes the disadvantages of traditional face to face training models succeeded to improve the attendees' theoretical knowledge level and when combined with the practical trainings given to AMT candidates in maintenance organisations during their experience periods will be very successful in improving safety and reliability in aviation maintenance operations.;2017;aircraft maintenance is one of the primary causes or contributing factors in aircraft accidents. ıt is clear that proper training of aircraft maintenance technicians (amts) will avoid failures reduce maintenance related accidents improve safety and reliability in aviation and provide recovery of the increasing demand to qualified amts for sustainability of the market growth. ın this study european safety agency (easa) based amt licencing system in eu states (and non-eu states implementing easa rules) has been analysed and a training model developed in accordance with easa part-66 requirements and delivered by e-learning methods has been introduced. the analysis of the licensing process based on easa regulations showed that this process was based on the candidate's demonstration of knowledge and acquisition of experience. the required experience depends on the training background of the candidate. field exercise showed that developed e-learning training model which overcomes the disadvantages of traditional face to face training models succeeded to improve the attendees' theoretical knowledge level and when combined with the practical trainings given to amt candidates in maintenance organisations during their experience periods will be very successful in improving safety and reliability in aviation maintenance operations.
This study has focused on the factor affecting the exit from farming of young farmers since it is an important issue in many provinces of Turkey. Data obtained through face-to-face interview method with 85 selected young farmers (aged 15-40 years) engaged in agricultural activity in the Nigde province in 2017. Logistic regression model based upon the dependent variable decision to exit from farming was used to determine relevant factors. According to results number of children the presence of house in the city center and the monthly income level has effects to exit from farming. Young farmers have priorities to reach a better life conditions for their children such as better education and health care services. Rural investment support should be increased entrepreneurship and innovation trainings should be expanded by encouraging training on agriculture. It would be beneficial to develop different applications such as distance learning modules and digital agriculture.;2018;this study has focused on the factor affecting the exit from farming of young farmers since it is an important issue in many provinces of turkey. data obtained through face-to-face interview method with 85 selected young farmers (aged 15-40 years) engaged in agricultural activity in the nigde province in 2017. logistic regression model based upon the dependent variable decision to exit from farming was used to determine relevant factors. according to results number of children the presence of house in the city center and the monthly income level has effects to exit from farming. young farmers have priorities to reach a better life conditions for their children such as better education and health care services. rural investment support should be increased entrepreneurship and innovation trainings should be expanded by encouraging training on agriculture. ıt would be beneficial to develop different applications such as distance learning modules and digital agriculture.
This paper presents a review of peer-reviewed publications (2007-2017) on digital open educational practices (OEPs). It explores trends and patterns in this emerging area of study by examining paper abstracts and bibliographic data indexed in the Scopus database using a combination of descriptive statistics text mining social network analysis and content analysis. Findings demonstrated two major strands of OEP research: those who discuss OEP in the context of open educational resources mostly in terms of open educational resource creation adoption and use and those who discuss OEP in relation to other areas including open scholarship open learning open teaching or pedagogy open systems and architectures and open source software. Based on the findings of this study and in the light of the broader literature on OEPs we echo the calls for a need to conceptualize OEPs as a multidimensional and unifying construct.;2018;this paper presents a review of peer-reviewed publications (2007-2017) on digital open educational practices (oeps). ıt explores trends and patterns in this emerging area of study by examining paper abstracts and bibliographic data indexed in the scopus database using a combination of descriptive statistics text mining social network analysis and content analysis. findings demonstrated two major strands of oep research: those who discuss oep in the context of open educational resources mostly in terms of open educational resource creation adoption and use and those who discuss oep in relation to other areas including open scholarship open learning open teaching or pedagogy open systems and architectures and open source software. based on the findings of this study and in the light of the broader literature on oeps we echo the calls for a need to conceptualize oeps as a multidimensional and unifying construct.
The purpose of this study is to uncover factors that affect participation in online classes from the student's perspective. Interest in the online environment has been increasing and renders the opinions of students participating in online courses more important since the opinions of students in this environment are closely related to interaction. It has been seen that lack of interaction creates a sense of loneliness which causes students to drop their classes. For this reason a qualitative study has been conducted about student experiences on the use of methods that increase interaction in an online environment and participation. Participants were given tasks based on collaboration special attention was paid to make sure that the setting in which the participants found themselves was in accordance with the principles of the community of inquiry computerized equipment was used to facilitate online interactions. 15 students worked based on collaboration and 15 students worked individually. Data was collected with interviews and reflection reports. Open axial and selective coding was made by using the theorizing method. At the end of the study it was determined that participation in online environment was affected in both groups by factors such as personal approaches changing variables mediated attributes.;2018;the purpose of this study is to uncover factors that affect participation in online classes from the student's perspective. ınterest in the online environment has been increasing and renders the opinions of students participating in online courses more important since the opinions of students in this environment are closely related to interaction. ıt has been seen that lack of interaction creates a sense of loneliness which causes students to drop their classes. for this reason a qualitative study has been conducted about student experiences on the use of methods that increase interaction in an online environment and participation. participants were given tasks based on collaboration special attention was paid to make sure that the setting in which the participants found themselves was in accordance with the principles of the community of inquiry computerized equipment was used to facilitate online interactions. 15 students worked based on collaboration and 15 students worked individually. data was collected with interviews and reflection reports. open axial and selective coding was made by using the theorizing method. at the end of the study it was determined that participation in online environment was affected in both groups by factors such as personal approaches changing variables mediated attributes.
