Abstract;Year
Although costal cartilage autograft has versatile usage harvesting the graft is an invasive procedure with potential risks for complications. Therefore it is important to make every effort to minimize these risks. Moreover sculpting costal cartilage to the desired shape is challenging and time-consuming because of the natural rigidity. This study aimed to evaluate cases of costal cartilage harvest in terms of the most important donor site complications and to present a novel practical and inexpensive technique to overcome the challenges in costal cartilage harvesting and contouring. A retrospective review of patient records was made of 103 patients who underwent costal cartilage harvest by the senior author. Costal cartilage harvest was applied using either the thermal chondroplasty technique or the conventional technique on patients undergoing revision rhinoplasty surgery. The number of complications and operation times were compared between the 2 techniques. A cohort of 47 patients (30 males 17 females mean age 34.5 years [range 28-48 years]) underwent costal cartilage harvest using the thermal chondroplasty technique and a cohort of 56 patients (31 males 25 females mean age 36 years [range 28-52 years]) underwent costal cartilage harvest with the conventional technique. The mean operation time for the costal cartilage harvest decreased by 7.5 minutes and the total operation time decreased by 17 minutes with the use of the thermal chondroplasty technique compared to the conventional technique (P < 0.05). Complications of 2 pneumothorax and 1 hematoma developed in the conventional technique group and no complications were seen in the thermal chondroplasty group. The results of this study suggest that the thermal chondroplasty technique is safer and time-saving compared to the conventional technique.;2020
Although the psychological aspect of the rhinoplasty operation has been a subject of interest for a long time with the exception of a few studies sociological factors have been almost totally ignored. In this prospective study the personality characteristics and socioeconomic backgrounds of 216 rhinoplasty patients were evaluated. Between 1994 and 2000 a questionnaire and the Minnesota Multiphasic Personality Inventory (MMPI) were given preoperatively to 157 females and 59 males. The MMPI was also given to age-matched people as a control. Six months after surgery patients were called on the telephone and asked to rate their satisfaction. According to questionnaire a great majority of the rhinoplasty patients were young unmarried women with high education levels. In the rhinoplasty group one or more scales of the inventory were not in the normal ranges in 45% of the patients whereas this proportion in the control group was 28% (p < 0.01). When MMPI results are considered female patients of this study could be described as egocentric childish highly active impulsive competitive reactive perfectionistic about themselves talkative and emotionally superficial. Male patients could be described as rigid stubborn over-sensitive suspicious perfectionistic pessimistic over-reactive and having somatizations. Tension and anxiety with feelings of inferiority were found to be characteristics of the male patients. The satisfaction rate after six months was reported as 72%. There was no significant correlation between MMPI results and demographic variables nor satisfaction rate. In conclusion the rhinoplasty patients in our study are young people at the very beginning of their careers. It could be that their personalities and socioeconomic backgrounds combine to make aesthetic surgery rewarding enough both socially and personally to encourage them to follow through.;2003
Although various techniques have been described for treatment of severe nose deformities these problems have high revision rates. Conventional nasal septal surgery may not be adequate for all cases. A 21-year-old male patient with nose deformity underwent a nasal surgery. Patient had both functional and aesthetic nasal problems. Rigid fibular bone graft was used for corrective nasal surgery. Duration of the operation was three hours. Patient recovered without problems. Aesthetic and functional results of the operation were acceptable. Fibular bone graft may offer a long lasting support in treatment of severe nose deformity.;2017
Among aesthetic surgery procedures rhinoplasty is one of the most common. Preoperative simulations have become increasingly commonplace through the recent years along with a controversy regarding their use. Although capable of building a solid rapport between the surgeon and the patient by visualizing the end result it can also prove to be a liability for a surgeon who is not confident about delivering the result which has been put on screen. The objective of this study is to evaluate the outlook of the surgeons and patients on preoperative simulations. Plastic surgeons who perform rhinoplasty and individuals who consider rhinoplasty were surveyed via an online questionnaire system. Their opinions about the practice of simulation were questioned and they were asked to distinguish between simulated and actual postoperative results. Statistical analyses were performed using SPSS software. Major factors influencing the decision-making process of patients were the availability of preoperative simulation being shown appealing results of the surgeon's previous work and a personal reference from a patient with an appealing result. Within the health care professionals it has been observed that experienced surgeons are more confident about using simulations while inexperienced ones are daunted by being bound with a visual contract (p < 0.05). However it has been noted that the preference of withholding the simulation or providing a copy to the patient was similar in all experience levels (p > 0.05). In conclusion our findings suggest that the patients' self-consciousness regarding preoperative simulations seem to grow faster than the surgeons' confidence in their use. Level of evidence is Level V.;2017
An adequate nasal tip projection is of the utmost importance for good nasal aesthetics. Conventional rhinoplasty procedures are not adequate for achieving nasal tip projection in ''tips with inadequate projection'' (TIP). This article describes our technique of using an umbrella-shaped cartilage graft to the tip. The graft is carved from caudal septal and alar cartilages. The results and advantages of the technique are discussed.;1993
An experimental model was used for the comparative evaluation of autogeneous and homogeneous nasal dorsal onlay cartilage grafts. This study was conducted on 18 adult white New Zealand male rabbits. Nasal septal cartilage (NSC) sliced nasal septal cartilage (SNSC) and auricular cartilage (AC) grafts were prepared in autogeneous and homogeneous forms and placed into the subcutaneous pockets of the nasal dorsum of rabbits. After a period of 3 months the animals were painlessly killed and each site was analyzed histologically for inflammation neovascularization fibrosis and resorption. Inflammation fibrosis and neovascularization were found to be significantly more extensive in the homogeneous graft groups and autogeneous SNSC group 3 months after implantation. Resorption was significantly high in both homogeneous and autogeneous AC groups and significantly low in the autogeneous and homogeneous SNSC groups. There was no significant difference between the homogeneous and autogeneous grafts in terms of resorption rates. In conclusion the results of this experimental study demonstrate that resorption was lesser than expected in the sliced cartilage graft and that homologous cartilage graft applications had activity and reliability similar to that of autogenous cartilage grafts.;2015
Anterior septal height is an important determinant of nasal tip projection. Accordingly the anterior septal extension technique has proven itself to be a powerful tool for achieving long-lasting nasal tip projection in rhinoplasty. However anterior septal extension does not protect against postoperative loss of nasal tip rotation unless an additional suspension strategy is used. A tip-suspending transfixion suture is the authors' strategy for supporting nasal tip rotation whenever an anterior septal extension technique is performed. Of 156 rhinoplasties performed by the authors between 2010 and 2012 a cohort of 22 droopy-tip rhinoplasties was extracted in which the described technique was used. The patients in this cohort were included in a retrospective nasal tip projection and rotation analysis. The nasolabial angle (NLA) and Goode ratio measurements were compared between preoperative 3-week postoperative and 1-year postoperative profile-view photographs. The NLA and the Goode ratio measurements were significantly higher in the 3-week postoperative group than in the preoperative group indicating an effective gain in both tip projection and rotation. The NLA and the Goode ratio measurements did not differ statistically between the postoperative 3-week and postoperative 1-year groups indicating long-term maintenance of nasal tip position. A tip-suspending transfixion suture is an easy method for securing nasal tip rotation when used in conjunction with an anterior septal extension. This journal requires that authors assign a level of evidence to each article. For a full description of these Evidence-Based Medicine ratings please refer to the Table of Contents or the online Instructions to Authors www.springer.com/00266.;2014
Asian noses are mainly characterized by a low nasal dorsum a short nose and an underprojected nasal tip due to underdeveloped (short and weak) alar cartilages. The goals of the surgery are to increase the tip projection elongate the nose and augment the dorsum. In Asian noses the structural approach helps strengthen the weak cartilages and add definition to the nasal tip. There are various methods to increase tip projection and definition. Columellar strut caudal septal extension graft tip grafts and lateral crural grafts in order to elongate the upper legs of the nasal tip tripod can be used. The method described in this article seems a useful solution in Asian rhinoplasty patients who do not want to use rib cartilage. The Skiff Graft functions similar to caudal septal extension graft with its elongation and raise effect at the caudal septum. However in cases which need significant increase in tip projection and nose elongation this method may be insufficient. In such cases stronger structural grafts prepared from rib cartilage will give a better tip definition and more predictable outcome.;2017
Augmentation mentoplasty is a cosmetic surgical procedure to correct chin retrusion or microgenia which usually requires placement of an alloplastic material over the pogonion and which results in increased chin projection and a more aesthetically balanced facial profile. Polypropylene mesh is easy to purchase widely available in a general hospital and most commonly used by general surgeons. In this series of 192 patients we wanted to demonstrate our simple mentoplasty technique using prolene mesh that can easily be combined with a rhinoplasty procedure with possible causes of infection and the rationale for using prolene mesh in such procedures.;2011
Autogenous fascia including the temporalis fascia has a particular role in rhinoplasty as radix and dorsal onlay grafts. The main purpose of this study is to achieve desired appearance of facial harmony using either a complete or partial sheet of deep temporal fascia as a radix graft in the patients with required permanent radix augmentation. This is a prospective study of 15 patients who referred to Gandi Day Clinic Tehran Iran between 2005 and 2006 and underwent rhinoplasty including nasal radix augmentation using deep temporalis fascia through external rhinoplasty approach. The patients with hump noses had low radix and required radix augmentation. Full sheet facial graft was used in 13 patients. Partial sheet facial graft was used in two patients. As a donor site problem minor hematoma was observed in one patient. Temporary hair loss in incision line was another problem which were seen in five. As for the recipient site no infection persistent erythema of nasal skin extrusion visibility displacement of graft materials or irregularity of graft contour were observed postoperatively. Resorption rate was approximately 30% for grafted fascia. Using fascia grafts in radix point the revision rate was minimal. In order to augment the radix if 4 mm augmentation is needed it should be considered that full sheet fascia graft alone would be insufficient. If more than 4 mm of augmentation is needed 30% overcorrection would manage well the permanent radix augmentation without any problem.;2011
Background Algorithms define a sequence to approaching a subject. This study represents a scoping review seeking to define the role of surgical algorithms in rhinoplasty. Methods A scoping review was conducted. Pubmed/MEDLINE Web of Science and Google Scholar as well as a citation searching was performed to find eligible studies for review. Eligibility criteria included studies published in English human subjects >= 15 years old and all included surgical algorithms were for primary cosmetic rhinoplasty. Results In total 514 studies included the key search terms. Thirty-nine studies were evaluated for data extraction. The majority of the algorithms were from USA-based publications (22/39). Flow-chart type algorithm was used in 23 and text-based algorithms in 15 of the 39 studies. Algorithms related to tip shape and/or position were most frequent (19/39) followed by those for crooked nose and dorsal height. Only 7 of the algorithms described outcomes for utilizing the algorithm. Conclusions Very few surgical algorithms have been published for cosmetic rhinoplasty. A minority of these studies have published outcomes. This study provides a description and summary of these algorithms and also shows that future studies could be done to further develop surgical algorithms for rhinoplasty and evaluate outcomes.;2021
Background Although casts or external splint materials are commonly applied on the external nose after rhinoplasty their beneficial effects have not been previously demonstrated in controlled studies. Methods A total of 40 adult patients who underwent primary rhinoplasty were included in this prospective study. The patients were randomized into 2 groups to use an external splint or not after surgery. Only surgical taping was applied to the nasal dorsum of the patients for whom external splints were not used. The periorbital edema and ecchymosis levels of the patients were recorded on the second and seventh days after surgery. Moreover all patients had a computed tomography scan at the third postoperative week to measure the distance between the beginning of the osteotomy line on the right and left sides and the midline. Results On the second and seventh postoperative days the levels of periorbital edema and ecchymosis were significantly lower in the patients with taping than in the patients with splints (P < 0.05 for each). No statistically significant difference was observed in terms of the difference in the distance between the beginning of the osteotomy line on the right and left sides to the midline between the group with external splints and that with tape (P = 0.661). Conclusions External splinting may not be used in cases where osteotomy is not performed or in patients where the osteotomies are sufficiently stable. Thus the disadvantages of external splinting are avoided and at the same time periorbital edema and ecchymosis are less common.;2021
Background Although columellar strut grafts (CSGs) are considered among the fundamental steps for providing nasal tip support a downward rotation of the nasal tip in patients with strut grafts can still be encountered. Patient-related factors such as nasal skin thickness can allow the plastic surgeon to anticipate certain drawbacks that can be encountered in the healing phase but patient-based differences of nasal cartilage and the resulting impact have yet to be investigated. The purpose of this study was to evaluate the effect of the biomechanical properties of CSGs on late postoperative nasal tip position and support. Methods The study was undertaken with the participation of 20 patients undergoing closed-technique primary rhinoplasty with CSGs. Each cartilage specimen was biomechanically analyzed to calculate the modulus of elasticity. Preoperative and postoperative images were obtained to determine nasal tip position and rotation with quantitative measurements. Postoperative 3- and 12-month measurements were evaluated according to their relationship with the elasticity modulus of the utilized cartilages. Results The evaluation demonstrated that the elasticity modulus can impact the long-term support of the nasolabial angle in which an increase in the coefficient of elasticity can result in a decrease in long-term nasal tip support. Conclusion The results of the study reveal a new objective variable that can impact nasal tip dynamics and patient-related differences following rhinoplasty. This study not only brings forth a different perspective in the evaluation of nasal tip dynamics but can also provide data for determining ideal values for cartilage prefabrication.;2019
Background and Objective: Different accesses have been used to perform lateral osteotomies in rhinoplasty. All of them have some disadvantages. The aim of this paper was to report a new access to overcome drawbacks of the other techniques in lateral osteotomy during open rhinoplasty. Methods: An anatomical study was designed to search possibility of intranasal extramucosal access (open sky access) for the lateral osteotomy in open rhinoplasty. It was performed directly on the lateral wall of piriform aperture and then possible advantages of this technique were investigated. Five fixed cadavers were used for this purpose. No drawbacks were observed during procedure in cadavers. Then the same procedure was performed in 23 consecutive rhinoplasty patients. Nineteen operations were primary and 4 operations were secondary. Median oblique osteotomies were added to the procedure in all patients. The mean follow-up was 17 months. Results: Intranasal extramucosal access during lateral osteotomy was easily performed in all patients. Hemorrhage due to angular vessel injury was not occurred during intraoperative period. Edema and ecchymosis was minimal. Intranasal examination did not show any sign for nasal mucosal tearing in all patients. Residual bone spurs or bone irregularities were not observed in any patients. Conclusion: Intranasal extramucosal access that produces precise predictable and reproducible aesthetic and functional results could also provide better exposure during lateral osteotomy. Additionally open sky access minimizes scars because it does not need additional incisions on the skin and mucosa. Protection of the internal periosteum of the nasal bones may be the main advantages of this technique.;2016
Background and objective: The aim of this study was to evaluate the efficacy of dexmedetomidine an alpha(2)- adrenoceptor agonist on intraoperative bleeding anaesthetic drug requirement and postoperative pain. Methods: Forty patients scheduled for elective tympanoplasty and septorhinoplasty operations under general anaesthesia were included in the study. The patients were randomly assigned to receive either a dexmedetomidine 1 mu g kg(-1) bolus 10 min before induction of anaesthesia plus 0.5 mu g kg(-1) h(-1) infusions during maintenance or placebo. Mean arterial pressure was maintained between 60 and 80 mmHg. Perioperative mean arterial pressure heart rate time to extubation and time to awakening were recorded. Bleeding during surgery was assessed by the surgeon blinded to the study drugs both intraoperatively and postoperatively as a final personal opinion about the whole surgical process. Results: The heart rate and mean arterial pressure were significantly lower during induction operation and extubation in the dexmedetomidine group (P < 0.05). Blood losses were lower in the dexmedetomidine group (P < 0.05). Propofol dose required for induction and fentanyl and isoflurane consumption were significantly reduced in the dexmedetomidine group (P < 0.05). The total amounts of nitroglycerin and meperidine used were higher in the control group (P < 0.05). Conclusions: Dexmedetomidine decreased bleeding postoperative analgesic requirements and intraoperative anaesthetic requirements and was associated with more stable haemodynamic responses to anaesthesia. We conclude that dexmedetomidine is a useful adjuvant to decrease bleeding when a bloodless surgical field is requested.;2007
Background and Objectives: Rhinoplasty is a frequently performed surgical procedure. Besides an aesthetically successful outcome determination of additional nasal pathologies and making a simultaneous intervention on these are also essential for a successful functional outcome. This study aims to determine the rates of accompanying nasal pathologies in patients undergoing rhinoplasty and reveals whether any additional interventions were performed during operation. Materials and Methods: In this cross-sectional study 496 Caucasian Turkish patients who underwent rhinoplasty at the Plastic Reconstructive & Aesthetic Surgery and Otorhinolaryngology clinics of our research hospital between 2015 and 2018 were retrospectively examined. Among them the results of 271 patients who had preoperative paranasal computerized tomography scans were evaluated. Results: The mean age of the 271 patients was 28.8 years (Range: 17-55). Among them 156 (57%) were female and 115 (42%) were male. The numbers of patients with septal deviation inferior concha hypertrophy unilateral/bilateral concha bullosa nasal polyp mucosal thickening and retention cysts at the Otorhinolaryngology clinic were found to be 126 (82%) 77 (50%) 20 (13%) 10 (6.5%) 77 (50%) and 41 (27%) respectively and these numbers were respectively 97 (82%) 60 (51%) 11 (9.3%) 2 (1.7%) 57 (48%) and 17 (14%) at the Plastic Reconstructive a Aesthetic Surgery clinic. A statistically significant difference was found in terms of the presence of retention cysts between the clinics (95% CI -0.11% to 0.16% P=.014 P<.005) and the presence of retention cysts was significantly higher at the Otorhinolaryngology clinic. A total of 18 (12%) patients were found to have additional surgical interventions. Conclusions: This study showed that additional nasal pathologies were frequently present in patients undergoing rhinoplasty operations. Hence for a successful operation it is essential to have Otorhinolaryngology consultation and detect accompanying pathologies in rhinoplasty cases which will be performed by Plastic Reconstructive a Aesthetic Surgery specialists. (C) 2020 British Association of Plastic Reconstructive and Aesthetic Surgeons. Published by Elsevier Ltd. All rights reserved.;2020
Background Correction of a crooked or deviated nose is a complex cosmetic and functional problem as well as a big challenge for the rhinoplasty surgeon. Although corrections using a wide range of surgical techniques to straighten the nose and maximize nasal function have been proposed recurrence is very common because of cartilage memory and scar contracture. Therefore to prevent recurrence and maintain the correction of the septum a permanent support that is stable and strong with the ability to maintain its given shape after placement on one or both sides of the septum is needed. Methods The author used a nasal bone graft. In this study the concept and technique for correction of the crooked nose and the author's experience using it are presented. Results This graft material was used for 12 patients with crooked noses (8 with C-type and 4 with S-type noses). During a mean follow-up period of 20 months (range 12-36 months) there were no complications recurrences or extrusions. Functional evaluations were performed using a visual analog scale before surgery and 6 months after surgery. Patients were asked to score their nasal breathing on a scale ranging from 0 to 100. The mean preoperative value was 17.67% +/- 1.22% (range 15-25%) and the postoperative value was 89.88% +/- 1.24% (range 85-95%). Use of nasal bone grafts as the spreader graft is a safe effective reliable and permanent method for correction of the crooked nose. The author advises using this technique with nasal bone grafts for functional recovery and increased strength against further trauma or forces of scar contracture. This technique may prevent recurrence attributable to cartilage memory.;2008
Background Currently saddle nose deformity is one of the most challenging deformities in all of rhinoplasty surgery. Recent advances in aesthetic reconstructive surgical techniques warrant discussion of this subject. Methods A review of saddle nose cases from January 2003 to February 2007 showed that the existence of an important subgroup exists designated as septal saddle nose deformity. The pathophysiology was weakening or loss of septal support bone or both but not the classic dorsal overresection. A prospective study of 33 consecutive cases was completed with emphasis on analysis classification and treatment. Results Prior attempts at classification have emphasized cause. The author's study indicated that the majority of cases had multiple causes the most common being trauma followed by septorhinoplasty (immediately or later) as opposed to simple fracture reduction. In addition 23 of 33 cases were true secondary saddle nose deformities. Classification was divided into types. Different methods of composite reconstruction were devised according to each case and grade which allows construction of a deep structural foundation layer that then is superimposed with an aesthetic layer. Conclusions Septal saddle nose still is an important entity that must be recognized and treated especially when it is progressive. Composite reconstruction offers a unique solution to saddle nose deformity because it is a flexible method of restoring structural support and aesthetic contour.;2008
BACKGROUND Edema persists for months after rhinoplasty. Numerous modalities have been described to counteract postoperative edema. OBJECTIVE To evaluate the effect of postrhinoplasty taping (PRT) on nasal edema and nasal draping. DESIGN SETTING AND PARTICIPANTS In this randomized clinical trial 57 patients undergoing rhinoplasty at a tertiary reference center from August 1 2014 to January 31 2015 were assigned to a control group or to 2- or 4-week PRT groups. Baseline nasal thickness was measured with ultrasonography at the nasion rhinion supratip and tip and mean nasal skin thickness (MNST) was calculated. Participants in each group were categorized by the baseline MNST measurement from the lowest to greatest MNST those in the upper half were categorized as having thick skin those in the lower half thin skin. The control group underwent no PRT after the removal of external packing. Patients in the 2- and 4-week PRT groups received additional taping during the allocated time. Data were collected from August 1 2014 to June 31 2015. Follow-up was completed on June 31 2015 and data were analyzed from July 1 to August 1 2015. MAIN OUTCOMES AND MEASURES Postoperative measurements of MNSTwere performed at the end of weeks 1 3 and 5 and month 6. RESULTS Of the 57 total patients (33 male and 24 female patients mean [SD] age 30.0 [11.7] years) 17 were in the 2-week PRT group 20 the 4-week PRT group and 20 the control group. Compared with the control group 4-week PRT had a significant effect on the supratip (P = .001). Comparisons of MNST with the control group revealed significant effects of 2-week (P = .02) and 4-week (P = .007) PRT. The effect on the tip was not significant (P = .052). Postrhinoplasty taping had no effect in thin-skinned patients. Comparison among thick-skinned patients revealed a significant effect on the MNST (P = .01) and the rhinion (P = .02) but not the tip (P = .06) and supratip (P = .07). CONCLUSIONS AND RELEVANCE Postrhinoplasty taping helps the skin envelope to compress to the underlying framework and decrease postoperative edema. The procedure can be used particularly in thick-skinned patients in whom skin draping and nasal refinement is crucial to the surgical outcome.;2016
Background Emergence agitation (EA) defined as restlessness disorientation excitation and/or inconsolable crying is a common phenomenon during early recovery from general anesthesia. In this study we aimed to determine the (1) EA incidence after rhinoplasty operations in adults (2) the effects of ketamine administered at sub-anesthetic doses just 20 min before the end of the surgery in rhinoplasty operations on agitation level postoperative pain side effects and complications and (3) to determine the risk factors for EA in adults after rhinoplasty. Materials and Methods Totally 140 patients scheduled to undergo elective rhinoplasty were enrolled in this prospective study. Patients were equally and randomly divided into two groups: saline group (control group) (n = 70) and ketamine group (n = 70). Twenty minutes before surgery completion 1 ml saline was administered via the intravenous (i.v.) route to the saline group while 0.5 mg/kg ketamine was administered via i.v. patients in the ketamine group. The emergence agitation level of the patients was evaluated using the Richmond Agitation-Sedation Scale just after extubation and in the post-anesthesia care unit (PACU). For postoperative pain evaluation the Numerical Rating Scale (NRS) was scored (from 0 to 10) every 10 min until the patients were discharged from PACU. Results EA incidence in the control group was as high as 54.3% while in the ketamine group it was 8.6% just after extubation (p < 0.001). In the PACU EA incidence was 28.6% in the control group while none of the patients had EA in the PACU in the ketamine group (p < 0.001). Male gender severe pain (NRS >= 5) and smoking were defined as significant risk factors for EA both after extubation and during follow-ups in the PACU (p < 0.001). Conclusions Emergence agitation after rhinoplasty is a common complication likely disturbing operative outcomes in adults. Ketamine at sub-anesthetic doses is highly effective in preventing EA. Further larger-scale prospective studies are warranted to determine preventive measures for EA development in rhinoplasty.;2018
Background Following open rhinoplasty a postoperative scar at the columellar incision line is a common morbidity. The aim of this study is to compare absorbable and nonabsorbable suture materials which had been used for closing the transcolumellar incision in the aspect of risk of postoperative infection wound healing postoperative columellar scar and patient satisfaction. Method A prospective randomized single-blind study was conducted between May 2017 and February 2018. Sixty-four rhinoplasty patients were randomly assigned to absorbable (n = 32) or nonabsorbable (n = 32) groups. The columellar incision was closed with 7 full-thickness skin sutures. Either nonabsorbable 6/0 polypropylene (Group 1) or absorbable 6/0 polyglytone 6211 (Group 2) sutures were placed at the columellar incisions. Polypropylene sutures were removed at the 7th postoperative day. A Mann-WhitneyUtest and Monte Carlo were used for statistical comparison. Photographs of the patients at the postoperative third month (Fig. 2) were evaluated and scored in terms of scarring pigmentation notching level differences in the incision area by two different otorhinolaryngologists who did not know the randomization. Suture removing discomfort was assessed with visual analogue scale scores. A satisfaction survey was filled out by all the patients completing their third month after the operation. Results According to the results of both otorhinolaryngologists there was no significant difference between the two groups in terms of pigmentation level difference notching overall appearance and total score (p = 0.920p = 0.498 respectively). The mean score on the Wong-Baker scale was 3.19 +/- 1.67 in group 1. In the Satisfaction Survey the average score of the group 1 was 6.90 +/- 3.24 while the mean score of the group 2 was 7.062 +/- 2.77. There was no statistically significant difference between the two groups (p = 0.715). Conclusions Suturing inverted V transcolumellar incisions with rapid resorbable sutures caused significantly less discomfort but no difference in scarring compared to nonresorbable sutures as evaluated by patients and observers.;2020
Background Graft use is inevitable in some primary and secondary rhinoplasty cases with cartilage or bone deficiency. Although rib graft is one of the best graft sources it has several disadvantages. The purpose of this study is to minimize the risks of using rib grafts. Material and Methods Between 2018 and 2020 a total of 21 patients aged between 25 and 55 have undergone revision rhinoplasty under general anesthesia with a split cartilage graft of central origin. A 3-4-mm-thick bridge was left at the superior and inferior edges of the donor area and the graft was harvested from the central region without disrupting the costal integrity. A special retractor was placed between the perichondrium and the rib at the posterior of the costa to prevent damage to the pleura while cutting the rib. The previously marked grafts were cut in the donor area and harvested ready for use. The harvested grafts were used as spreader strut alar rim and nasal valve grafts. Results None of the patients had complications due to rib graft harvesting. After the operation pain in the donor region and analgesic requirement of these patients were less compared to the patients with full-layer grafts. Conclusions The grafts taken from the center of the costa without breaking its integrity seem quite suitable for revision rhinoplasty surgeries. This technique prevents various morbidities and enables patients to have a more comfortable postoperative period.;2021
Background In lower lateral cartilage (LLC) surgery cephalic trimming poses risks for the collapse of the internal and external nasal valves pinched nose and drooping deformity. The cephalic lateral crural advancement (CLCA) technique presented herein was aimed at using a flap to increase nasal tip rotation and support the lateral crus in addition to the internal and external nasal valves by avoiding grafts without performing excision. Methods This study included 32 patients (18 female and 14 male) and the follow-up period for patients having undergone primer open rhinoplasty was 12 months. The LLC was elevated from the vestibular skin using the CLCA flap. A cephalic incision was performed without cephalic trimming. Two independent flaps were formed while preserving the scroll ligament complex. The CLCA flap was advanced onto the lower lateral crus while leaving the scroll area intact. The obtained data were analyzed retrospectively. Results The mean age of the patients was 31.6 years (range 20-51 years). The Rhinoplasty Outcome Examination scores after 12 months varied from 90 to100 points and 93% of patients reported perfect satisfaction. At a 1-year follow-up the patients' nasal patency (visual analogue scale) rose from 4.56 +/- 1.53 (out of 10) to 9.0 +/- 0.65 (P< 0.001). Conclusions The CLCA flap led to better nasal tip definition by protecting the scroll area increasing tip rotation and supporting the internal and external nasal valves without cephalic excision.;2021
Background In rhinoplasty many techniques are used to increase the permanence of the planned final shape of the nose. Cartilage grafts can be diced and applied directly to the nasal dorsum or by wrapping with a material. We aim to show that mixing and using diced cartilage grafts with fat grafts can contribute to the viability of cartilage grafts by comparing our early postoperative and long-term results. Materials and Methods A total of 228 cases were analyzed. Postoperative 1-month 6-month and 1.5-year photographs of the patients were compared and the places that descended on the nasal dorsum were measured. In addition dorsal height was measured and compared. Preoperative and postoperative first-year rhinoplasty outcome evaluation scales were performed. Specimens from 6 patients were examined histopathologically. Results After the first month the mean regression in the dorsum was measured as 1.4 mm. The decrease in dorsal height between 1 month and 6 months was significantly greater than the decrease between 6 months and late periods. According to the rhinoplasty outcome evaluation (ROE) scale the average preoperative score of the patients was 45 while the mean postoperative score was 81.5. The viability of chondrocyte cells was measured as 85-90% histopathologically. Conclusion This approach has been evaluated as an application that satisfies both the surgeon and the patient due to the advantages of fat grafts such as preventing the cartilage and osteotomy lines from being palpated in thin-skinned patients holding the diced cartilage grafts together by acting as a glue increasing the viability of cartilage grafts.;2021
Background In this study demographic data the incidence among rhinoplasty cases and treatment approaches of cases diagnosed with congenital ONS in our clinic were discussed. Methods Facial nerve examinations of 728 patients who applied to our plastic surgery outpatient clinic seeking primary rhinoplasty for cosmetic reasons between January 2015 and January 2019 and nine cases with ONS were included in the study. Family history sex age unilateral or bilateral involvement accompanying muscles movement amplitude accompanying anomalies and treatment modalities of the subjects were documented. Results Among 728 primary rhinoplasty cases who admitted to our clinic nine patients were diagnosed with ONS. Of these rhinoplasty patients 76% were female (n 553) and 24% were male (n 175). In the study the rate of ONS was found to be 0.12% among the patients seeking rhinoplasty. The mean age of the cases was 28.12 years (range 19-47). All patients were female. Eight patients had right-sided ONS and in one patient it was located on the left side. No family histories or coexisting anomalies accompanied ONS in any of the patients. The CNMm accompanying the contraction of the OOm muscle was observed during the eye blink in seven cases dilator naris anterior muscle (DNAm) in one case and transverse part of nasalis muscle (TNm) in another case. Conclusions In the light of the data obtained from this study we conclude that ONS is fairly common among rhinoplasty cases and in order to prevent misunderstandings and medico-legal problems it is essential to recognize this condition before undertaking rhinoplasty blepharoplasty or any other surgical procedure. Level of evidence: Level V diagnostic study.;2020
Background Lower face dimensions have a great impact on the perception of nasal beauty. For this reason evaluation of the lower face is important in patients applied for rhinoplasty. In this study we aimed to describe the values of lower face anthropometric measurements in Turkish patients who applied for rhinoplasty and to compare these values with measurements of individuals who are pleased with their nasal appearance. Methods A Turkish population of 252 rhinoplasty-negative individuals and 171 rhinoplasty patients were included in this study as the control and rhinoplasty groups. Using the preoperative photographs of the facial profile seven vertical measurements were taken and seven indices were used to determine the relationships between measurements of the lower face. Results In the rhinoplasty group most vertical profile measurements were greater in males. The only variables with no gender differences were lower and upper vermilion heights. Only variables with a significant difference between two groups were upper lip vermilion height in females and upper lip height in males. Conclusions This study provides objective reference material for the evaluation of the lower face when planning for rhinoplasty. Besides the differences found between two groups emphasize the importance of the nasolabial region when planning for rhinoplasty.;2015
Background Management of the nasal dorsum is an important part of rhinoplasty. Hump removal results in the destruction of the internal valve and keystone area which are reconstructed with either spreader flaps or grafts for aesthetic and functional reasons. Objectives The goal of this work was to present the dorsal roof technique for both dorsum reduction and narrowing during rhinoplasty. Methods Fifty-two patients (35 females 17 males) underwent septorhinoplasty surgery with the dorsal roof technique. During the follow-up period all patients were photographed in the standard views. Photos were examined by two independent plastic surgeons. The pyramidal angles of the patients were measured with a protractor preoperatively and 1 year postoperatively. A rhinoplasty outcomes evaluation questionnaire was administered to all patients at the 1-year follow-up visit. Functional improvement was assessed utilizing self-evaluated nasal patency. The chi-square test was employed for statistical analyses. Data were evaluated retrospectively. Results Of the 52 patients 44 completed the 1-year follow-up period and rhinoplasty outcomes evaluation questionnaire. During the follow-up period no irregularity or residual hump was detected. Significant narrowing was achieved (P < 0.001). High patient satisfaction was achieved and no functional or aesthetic complications were encountered. Conclusions Whenever possible the dorsal roof technique is preferred to resection or camouflage the dorsum. This technique allows treatment of the wide dorsum wide nasal base and dorsal hump without resection thus maintaining the integrity of the dorsal bone-cartilage complex.;2020
