Abstract;Year;Yil
"PURPOSE: To examine the effects of telerehabilitation compared with other delivery models for improving physical or functional outcomes in patients with cardiopulmonary diseases. METHODS: A search was completed for English language publications from 1990 to August 2013 across 4 electronic databases and gray literature. Inclusion criteria were: (1) home-based telerehabilitation as a core component; (2) at least 2 exercise sessions; (3) randomized controlled trials; and (4) reporting of physical or functional outcome measures in adult patients with coronary heart disease, chronic heart failure, and chronic respiratory disease. Studies were independently screened by 2 reviewers and graded by a reviewer according to the Downs and Black checklist. A narrative synthesis of the included studies was undertaken. RESULTS: Eleven studies were analyzed. It appears that telerehabilitation is no different to other delivery models for patients with cardiopulmonary diseases, in terms of exercise capacity expressed as distance on the 6-minute walk test and peak oxygen consumption and quality of life. Telerehabilitation appears to have higher adherence rates compared with center-based exercise. There has been similar or no adverse events reported in telerehabilitation compared with center-based exercise. CONCLUSIONS: Although telerehabilitation shows promise in patients with cardiopulmonary diseases, compelling evidence is still limited. There is a need for more detailed, high-quality studies and for studies on the use of video-based telerehabilitation.";2015;3
Recent advances in telecommunication technologies have boosted the possibility to deliver rehabilitation via the internet (i.e. telerehabilitation). Several studies have shown that telerehabilitation is effective to improve clinical outcomes in disabling conditions. The aim of this review was to determine whether telerehabilitation was more effective than other modes of delivering rehabilitation to regain motor function, in different populations of patients. We searched PubMed, Embase and the Cochrane library retrieving 2360 records. Twelve studies were included involving different populations (i.e. neurological, total knee arthroplasty (TKA), cardiac) of patients. Inconclusive finding were found on the effect of telerehabilitation for neurological patients (SMD = 0.08, CI 95% = -0.13, 0.29), while both for cardiac (SMD = 0.24, CI 95% = 0.04, 0.43) and TKA patients (Timed Up and Go test: MD = -5.17, CI 95% = -9.79, -0.55) the results were in favour of telerehabilitation. Conclusive evidence on the efficacy of telerehabilitation for treatment of motor function, regardless of pathology, was not reached. Nevertheless, a strong positive effect was found for patients following orthopaedic surgery, suggesting that the increased intensity provided by telerehabilitation is a promising option to be offered to patients. More and higher quality research is needed in this field especially with neurological patients.;2015;3
"Recent studies demonstrated potential of home-based telerehabilitation in older adults and individuals with mobility impairment. However limited evidence exists on feasibility of home-based telerehabilitation in older adults after hip fracture. The aims of this study were: (1) to assess impact of home-based telerehabilitation of community dwelling older adults in post-acute phase of recovery after hip fracture on mobility, psycho-behavioral factors, quality of life, and satisfaction with care; (2) to estimate acceptance of the telerehabilitation system and adherence to the exercise program. We found statistically significant improvements in exercise self-efficacy, mobility, quality of life, and patient satisfaction after 30-day hip fracture telerehabilitation. Home-based telerehabilitation may be a viable model for post-acute hip fracture recovery and it is warranted for further evaluation in clinical trials.";2015;3
"Recent studies demonstrated that exercise interventions in significantly disabled patients with multiple sclerosis (PwMS) resulted in endurance and strength improvement and reduction of fatigue and spasticity. However engagement in long-term exercise training is limited in these patients due to multiple barriers including mobility, access to an exercise facility, and cost. It is unclear if PwMS with significant mobility disability are willing and able to engage in home-based telerehabilitation. The goal of this study was to assess level of acceptance and ability of these patients to carry out exercises using the telerehabilitation system without supervision. Ten PwMS with significant mobility disability were instructed how to use the telerehabilitation system and were then asked to use it independently according to predefined set of tasks. Feasibility was assessed by ability of study participants to successfully follow exercise tasks provided by a touch screen tablet. Telerehabilitation acceptance was measured by an attitudinal survey. Participant characteristics were: age= 53 +/- 11, PDDS= 5.3 +/- 2.4, years with MS=16 +/- 9. Average time required to train the patients to use the telerehabilitation system at home for flexibility and resistance exercises was 11 +/- 3 minutes and for active arm/leg biking: 3 +/- 1 minutes. All patients were able to successfully complete flexibility and resistance exercises and navigate the interface for arm biking exercise. Heart rate readings were affected by noise in some subjects. Active leg cycling was completed by 50% of patients; another half was unable to use it due to severe lower limb mobility impairment. Passive leg cycling supported by a splinting device was successfully operated by 100%. Overall, high acceptance and usability of the system in PwMS with severe mobility disability was demonstrated. This approach has a potential in supporting a comprehensive exercise delivery model in PwMS with significant mobility disability which will support individualized prescription of tailored endurance, strength, and therapeutic physiotherapy exercises.";2015;3
Recent years have witnessed a surge in telerehabilitation and remote healthcare systems blessed by the emerging low-cost wearable devices to monitor biological and biokinematic aspects of human beings. Although such telerehabilitation systems utilise cloud computing features and provide automatic biofeedback and performance evaluation, there are demands for overall optimisation to enable these systems to operate with low battery consumption and low computational power and even with weak or no network connections. This paper proposes a novel multilevel data encoding scheme satisfying these requirements in mobile cloud computing applications, particularly in the field of telerehabilitation. We introduce architecture for telerehabilitation platform utilising the proposed encoding scheme integrated with various types of sensors. The platform is usable not only for patients to experience telerehabilitation services but also for therapists to acquire essential support from analysis oriented decision support system (AODSS) for more thorough analysis and making further decisions on treatment.;2015;3
Regaining the ability to walk is a major rehabilitation goal after a stroke. Recent research suggests that, in people with stroke, task-oriented and intensive rehabilitation strategies can drive cortical reorganization and increase activity levels. This paper describes development and pilot testing of a novel wearable device for Real-Time Gait and Activity Improving Telerehabilitation (RT-GAIT), designed for use with such rehabilitation strategies. The RT-GAIT provides auditory or tactile feedback to the individual wearing the platform. The feedback is based on the amount of time spent in stance phase on each foot, as measured by the pressure sensors embedded into the insoles. The system was initially bench-validated using sensor signals collected in a previous study. Next, a clinical case study was conducted with one post-stroke individual. The results of the case study suggest that the RT-GAIT device can potentially improve the gait parameters. Mean difference in stance times between the healthy limb and paretic limb was improved by 48% and the standard deviation for the same was improved by 87.5%, between baseline measurements and the measurements taken after the treatment with the RT-GAIT.;2015;3
Robotic therapy devices have been an important part of clinical neurological rehabilitation for several years. Until now such devices are only available for patients receiving therapy inside rehabilitation hospitals. Since patients should continue rehabilitation training after hospital discharge at home, intelligent robotic rehab devices could help to achieve this goal. This paper proposes a novel multimodal home therapy concept and robot based system for motor telerehabilitation which is currently being further developed. The system is based on two haptic rehabilitation devices i) the Bi-Manu-Track (BMT) 2x1 DOF robotic haptic rehabilitation device with assist-as-needed control algorithms and ii) an enhanced version of the 3 DOF passive Reha-Slide system. The paper describes the technical system setup as well as user centered design aspects.;2015;3
Several studies have pointed out that egocentric and allocentric spatial impairments are one of the earliest manifestations of Alzheimer's Disease (AD). It is less clear how a break in the continuous interaction between these two representations may be a crucial marker to detect patients who are at risk to develop dementia. The main objective of this study is to compare the performances of participants suffering from amnestic mild cognitive impairment (aMCI group), patients with AD (AD group) and a control group (CG), using a virtual reality (VR)-based procedure for assessing the abilities in encoding, storing and syncing different spatial representations. In the first task, participants were required to indicate on a real map the position of the object they had memorized, while in the second task they were invited to retrieve its position from an empty version of the same virtual room, starting from a different position. The entire procedure was repeated across three different trials, depending on the object location in the encoding phase. Our finding showed that aMCI patients performed significantly more poorly in the third trial of the first task, showing a deficit in the ability to encode and store an allocentric viewpoint independent representation. On the other hand, AD patients performed significantly more poorly when compared to the CG in the second task, indicating a specific impairment in storing an allocentric viewpoint independent representation and then syncing it with the allocentric viewpoint dependent representation. Furthermore, data suggested that these impairments are not a product of generalized cognitive decline or of general decay in spatial abilities, but instead may reflect a selective deficit in the spatial organization Overall, these findings provide an initial insight into the cognitive underpinnings of amnestic impairment in aMCI and AD patient exploiting the potentiality of VR.;2015;3
Telepractice to deliver remote Part C early intervention (EI) services to families in their home is a rapidly-growing strategy under the Individuals with Disabilities Education Act (IDEA) to meet the needs of infants and toddlers who are deaf or hard of hearing. A survey was completed within a learning community comprised of staff from EI programs that were implementing telepractice to learn about their specific implementation strategies and challenges they faced. Twenty-seven individuals representing 11 programs responded. The results showed great variability in hardware and software, with many raising concerns regarding security. Primary challenges reported were internet connectivity and training in skills required to deliver telepractice services. The findings from this survey were valuable in guiding future areas of investigation for the learning community and ultimately improving telepractice in the field.;2015;3
Telerehabilitation (TR) services for assistive technology evaluation and training have the potential to reduce travel demands for consumers and assistive technology professionals while allowing evaluation in more familiar, salient environments for the consumer. Sixty-five consumers received TR services for augmentative and alternative communication or alternative computer access, and consumer satisfaction was compared with twenty-eight consumers who received exclusively in-person services. TR recipients rated their TR services at a median of 6 on a 6-point Likert scale TR satisfaction questionnaire, although individual responses did indicate room for improvement in the technology. Overall satisfaction with AT services was rated highly by both in-person (100% satisfaction) and TR (99% satisfaction) service recipients.;2015;3
Telerehabilitation aims to solve problems like equitable access to the rehabilitation and cost reduction by providing rehabilitation services at a distance. The largest part of telerehabilitation systems implement a real-time one-to-one process involving patient and therapist. Even though they can be successfully exploited in conditions such as post-traumatic recovery, in complex scenarios, this simple model should be replaced by a more structured collaborative one envisioning a multidisciplinary team. This paper presents the design and evaluation of a patient-centric collaborative telerehabilitation framework aimed at supporting a multidisciplinary team in the follow-up of domiciliary patients. The proposed framework follows the experience of a clinical trial that exploited a novel telerehabilitation device not conceived to support collaborative scenarios. Compared with the original system, the proposed extension allows the hierarchical division of the responsibility within the medical team, promoting a collaborative management of the rehabilitation. Proactive and decisional behaviors, as well as consulting practices on shared data within the medical team, are fostered by the system. Semi-structured interviews have been administered to a panel of experts to evaluate the proposed approach. The collected feedback can be exploited to finely tune the system in view of a new clinical trial including new functionalities. Copyright (c) 2014 John Wiley & Sons, Ltd.;2015;3
Tele-rehabilitation has been widely studied in recent year, although a number of crucial issues has not been addressed. Quantitatively assessing exercise performance is vital in monitoring the progress in exercise based rehabilitation. This allows physiotherapists not only to refine rehabilitation plans, but also provides instant feedback to patients and facilitate the exercise performance in non-clinical setting. In this paper, we propose to evaluate the performance of upper extremity reaching tasks with in a kinematic perspective by assessing the smoothness of motion trajectories with the entropy of shape model, including curvature and torsion. The simulation result confirms that approximate entropy of shape model is consistent with the change of the smoothness in motion trajectory while it is capable of classifying six levels of the ability to perform upper extremity reaching tasks with higher accuracy.;2015;3
"Telerehabilitation is an emerging method of delivering rehabilitation services, which uses information and communication technologies to minimize distance and time barriers. Telerehabilitation is often considered a specialization of the wide field of tele-medicine; most of telerehabilitation services fall into three categories: clinical assessment (patient's functional abilities in his or her environment), diagnosis and clinical therapy. Researches have recently underlined the potential of social media, mobile phones, and the Internet in general for improving mental health, supporting positive outcomes on addiction issues, sexual health, and homelessness. This paper analyses the issues and implications tied to the development of social telerehabilitation services in Latvia, and reports on the first step of National science program VPP INOSOCTEREHI, a new three years multidisciplinary project on social rehabilitation, which is conducted by four Latvian Universities, and focuses on the use of mobile technologies in rehabilitation scope.";2015;3
Tele-rehabilitation refers to the use of information and communication technologies to provide rehabilitation services to people remotely in their homes or other environments. The goal is to improve patient access to care by receiving therapy beyond the physical walls of a traditional healthcare facility, thus expanding continuity of rehabilitation care. The objectives of this paper are (1) to provide data that document the service delivery implemented by ReAbility Online for the past 18 months and (2) to report on the results of a focus group of clients who took part in the service during its initial implementation. We conclude with a short discussion based on the lessons learned during the development, evaluation and service implementation process.;2015;3
The aim of this study was to identify barriers to the utilisation of videoconferencing within a multidisciplinary rehabilitation medicine healthcare team, as the first step towards creating a telerehabilitation service. A survey was developed on videoconference use and barriers to use, and distributed to healthcare providers including rehabilitation medicine societies and allied health societies through an anonymous link to SurveyMonkey (R). There were 254 respondents, practicing primarily in Australia (n=245), in various healthcare roles. One-hundred and fifty-nine (66%) of respondents used videoconferencing regularly, primarily for their own education. Respondents not currently utilising videoconferencing (n=82, 34%) ranked the reasons for this and provided free-text responses to explain why this modality was not being utilised in practice. Respondents were reluctant to use videoconferencing because of perceived increase in time needed for video consultations compared to face-to-face consultations, concerns with lack of privacy and confidentiality, and a lack of clinical practice guidelines for video consultation. We believe many barriers to videoconferencing by healthcare providers can be managed with appropriate education and targeted training. Future research studies, which focus on standards and clinical practice guidelines for videoconferencing by healthcare providers, may result in increased utilisation of this modality for healthcare delivery in rehabilitation medicine.;2015;3
The analysis of human movement is a widely studied field of health applications, such as telerehabilitation, analysis of daily activities, and emergency detection. In this paper, the comparison of different classifiers is presented for a new movement recognition system, which can be used for the detection of emergency situations. The system uses 9-degree-of-freedom (9DOF) sensor boards that are attached to wrist-mounted Wireless Sensor Network (WSN) motes. The 9DOF sensor boards are built up from a tri-axial accelerometer, a tri-axial gyroscope, and a tri-axial magnetometer. Measurement data for classification were collected from multiple subjects. Eleven movement classes were constructed in order to recognize specific arm movements in stationary positions and also during the movement of the body. Various time-domain features (TDF) were calculated in different processing window widths. Depending on the used window size, sensors and TDFs, 48 different data sets were constructed, which were used for training and for validating of the system. Different classifiers were tested and compared using the original and the dimensionally reduced data sets. The dimension reduction is performed using the Linear Discriminant Analysis (LDA) method. The tested classifiers were the minimum distance classifier, the MultiLayer Perceptron (MLP) network, the naive Bayes classifier and the Support Vector Machine (SVM).;2015;3
"The ArmAssist is a low-cost robotic system for post-stroke upper-limb telerehabilitation based on serious games. The system incorporates a set of games for the assessment of arm function, the ArmAssist Assessment (AAA), which allows a remote monitoring of the progress of the patient and an automatic adaptation of the therapy. In this study, different components of the AAA are compared against three widely-used clinical tests, the Fugl-Meyer Assessment (FMA) [1], the Action Research Arm Test (ARAT) [2] and the Wolf Motor Function Test (WMFT) [3] in order to select the most clinically meaningful ones for the final score provided to patients and therapist, and evaluate their capability to predict or even improve some aspects of these standard scales. All four tests were performed in 38 separate sessions in 19 post-stroke individuals in their sub-acute phase, as part of a broader study. Statistically significant correlation could be shown with the three clinical tests. These preliminary results are promising for the validation of AAA as a fast, automatic and clinically meaningful tool for remote progress assessment and therapy adaptation; however, more data and further analysis is needed to confirm this.";2015;3
The evaluation of applications or systems within dynamic environments is complex. The existence of multiple hardware and software items which share the same space can provoke concurrency issues and result in erratic interactions. A sudden change within the environment can result is dramatic changes both to the user and application itself which can pass unnoticed in traditional evaluation methodologies. To verify if a component is compatible with a given environment is of paramount importance for areas like pervasive computing, ambient intelligence or ambient assisted living (AAL). In this paper, a semi-automatic platform for evaluation is presented and integrated with a TeleRehabilitation system in an AAL scenario to enhance evaluation. Preliminary results show the advantages of the platform in comparison with typical observation solutions mainly in terms of achieved data and overall ease of use.;2015;3
"The Fall 2015 issue of the International Journal of Telerehabilitation (IJT) presents original articles in the areas of Research; Privacy and Security; and Technology Review. As of May 2015, the International Journal of Telerehabilitation ( IJT) is live on PubMed Central: http://www.ncbi.nlm.nih.gov/pmc/journals/2411/. Articles from all past issues are indexed, as will be the current and future issues.";2015;3
"The objective of the study was to draw on the insights of people with stroke to assist in the development of a telerehabilitation program, using easily accessible technology to deliver an intervention. A qualitative study was conducted with four focus groups of people who were at least 12 months post-stroke and who had completed their rehabilitation. All focus groups were conducted in community facilities and used a semi-structured approach. Fifteen people took part in the focus groups. Three main themes emerged from the data in response to questions about use of technology and important aspects of physiotherapy. The first theme expressed the participants' perspective that the technology really helped with keeping connected''. The second theme indicated what we need from therapists'' in order to gain the most from therapy; and the third theme highlighted aspects of a physiotherapy program they considered important, what we would like from therapy''. The themes helped us gain insight into how participants viewed the use of technology to augment rehabilitation and also what they needed from therapists to make the gains they viewed as important. These themes informed the development of a telerehabilitation program using readily accessible technology.";2015;3
The objective of this study was to determine the feasibility of a 6-week, game-based, in-home telerehabilitation exercise program using the Microsoft Kinect (R) for individuals with chronic stroke. Four participants with chronic stroke completed the intervention based on games designed with the customized Mystic Isle software. The games were tailored to each participant's specific rehabilitation needs to facilitate the attainment of individualized goals determined through the Canadian Occupational Performance Measure. Likert scale questionnaires assessed the feasibility and utility of the game-based intervention. Supplementary clinical outcome data were collected. All participants played the games with moderately high enjoyment. Participant feedback helped identify barriers to use (especially, limited free time) and possible improvements. An in-home, customized, virtual reality game intervention to provide rehabilitative exercises for persons with chronic stroke is practicable. However, future studies are necessary to determine the intervention's impact on participant function, activity, and involvement.;2015;3
The Spring 2015 issue of the International Journal of Telerehabilitation (IJT) contains original research that analyzes provider perspectives on the use of telepractice to serve the families of children who are deaf or hard of hearing. Two case studies examine the utility of administering Facial Affect Training through telepractice to individuals with chronic traumatic brain injury. An article in IJT's policy section describes the process for the formulation of the World Federation of Occupational Therapists (WFOT) international telehealth position statement for occupational therapy. The World Federation of Occupational Therapists (WFOT) consists of 84 member organizations representing over 420,000 occupational therapists internationally (WFOT, 2014). The Spring 2015 issue also contains announcements of upcoming conferences. As of May 2015, the International Journal of Telerehabilitation (IJT) is live on PubMed Central: http://www.ncbi.nlm.nih.gov/pmc/journals/2411/. Articles from all past issues were indexed, as will be the current and future issues.;2015;3
The use of a modified Facial Affect Recognition (FAR) training to identify emotions was investigated with two case studies of adults with moderate to severe chronic (> five years) traumatic brain injury (TBI). The modified FAR training was administered via telepractice to target social communication skills. Therapy consisted of identifying emotions through static facial expressions, personally reflecting on those emotions, and identifying sarcasm and emotions within social stories and role-play. Pre-and post-therapy measures included static facial photos to identify emotion and the Prutting and Kirchner Pragmatic Protocol for social communication. Both participants with chronic TBI showed gains on identifying facial emotions on the static photos.;2015;3
The use of serious games, those not intended for leisure, out of their intended context may have consequences for evoked engagement and for the facilitation of transversal reutilization of developed games. However, the effectiveness and usability of serious games out of their intended context must be questioned. Here, we present two case studies in virtual rehabilitation. In a first experiment, a classical leisure game (i.e. pong) is compared in its ability to propose a valid alternative to games specifically developed for virtual rehabilitation use in terms of compliance with principles required in motor rehabilitation such as movement repetition, feedback, task significance and motivation. The second experiment explores the complementary situation in which a virtual rehabilitation game set is exported as a plausible tool for the cognitive stimulation of elders. Not unexpectedly, our results suggest that transfer of games across realms is, in some cases, a feasible enterprise but their effectiveness and usability may be compromised. In particular, we found that importing pong to a virtual rehabilitation environment is not a valid alternative in the sense that it does not obey rehabilitation principles. However, exporting serious games across related domains, i.e. from virtual rehabilitation to cognitive stimulation, has encountered a high degree of acceptance by the receiving community of users, being perceived as useful and easy to use, and we further establish that this acceptance cannot be explained by expertise in using technology. Qualitative assessment of usersO responses points to the interaction interface as a co-responsible factor for this acceptance of the serious virtual environment. These findings may have consequences for the future development of serious games both in terms of reusing ideas and alerting about possible difficulties during the migration process.;2015;3
The World Federation of Occupational Therapists (WFOT) consists of 84 member organizations representing over 420,000 occupational therapists internationally (WFOT, 2014). In 2014, WFOT published the WFOT Telehealth Position Statement on the use of telehealth in occupational therapy. The process for the formulation of the official document involved reviewing WFOT member organizations' telehealth position statements and data collected from a survey sent to member organizations' delegates in April 2014. Qualitative data from 39 countries yielded factors to consider in five key areas: licensure/registration requirements, the cost of technology, privacy and security, reimbursement/payment models, and other issues (e.g., need for collaboration/transfer of knowledge, client selection, provider competencies, standard of care). The WFOT Telehealth Position Statement addressed each of these areas. The collaborative effort resulting in the development of the WFOT Telehealth Position Statement serves as a model for other international organizations.;2015;3
"This article proposes a system for Telerehabilitation of people with motor disorders of the upper limb, by making a literature review about works related with the provision of the physical therapy service with ICT's use. Likewise, there is a brief description of the modules integrating the system: motion capture system based on inertial sensors and motion capture with camera; joint angle estimator was implemented through Kalman filter; IT app which registers the electronic medical record and finally, the active videogames module.";2015;3
This chapter describes the use of interactive videoconferencing as a strategy for oral hygiene training which may lead to a change in oral hygiene service delivery methods, an improvement in access to quality oral health care, and a reduction in oral disease burden on underserved populations. Clients who may benefit most from the oral home telecare are those who demonstrate cognitive impairment and/or physical disabilities, especially upper extremity dysfunction with manual dexterity impairment, and/or orofacial dysfunction. Preventive oral homecare via videoconferencing has been shown to build long-term habits for maintaining oral hygiene among people with chronic medical conditions or disabilities, thereby maintaining the continuity of care with conventional dental care services. Oral home telecare educational and training services provided by occupational therapists can be integrated into a broader, interdisciplinary, comprehensive telerehabilitation delivery program to enhance the patient's general health and overall quality of life.;2015;3
This chapter reviews Ambient Assisted Living (AAL) in the context of movement-based rehabilitation. The authors analyse the need for AAL solutions and how they can overcome many of the drawbacks associated with traditional rehabilitation. They discuss the benefits and challenges of rehabilitation within the AAL paradigm and the well-known benefits that the telerehabilitation and telemedicine models have already established. The authors review the top ambient technologies in use today, detailing their advantages and shortcomings. The review focuses primarily on areas such as motion capture, serious games, and robotic rehabilitation. The authors carry out a structured search of two well-known databases to find the most recent advances and present the most interesting lines of research and development. Finally, the authors discuss the review findings and draw conclusions on the future of personalised rehabilitation within an AAL paradigm.;2015;3
This exploratory study evaluated the effectiveness of Apple (Cupertino, CA) iPad((R)) (second generation) to deliver telepractice speech and/or language services. Five children and their parents/guardians, as well as four adult participants, received services for communication disorders in a university clinic setting over two academic semesters. The children met some of their speech goals and all of their language goals. All adult clients met some of their communication goals. Personal opinions about telepractice did not change statistically before and after therapy. The major problem identified during the study was skipping and/or freezing of images on the iPads during interactions with FaceTime((R)) (Apple). Further studies are needed to investigate the feasibility of using Apple iPads in telepractice.;2015;3
This longitudinal pilot study aims to describe the components and functionalities of the eChez-Soi home-based telerehabilitation platform, and present preliminary results on its technological reliability and usability. Four patients receiving chemotherapy treatments for lung cancer followed an 8 week home-based telerehabilitation program using the new eChez-Soi platform. All 60 planned sessions supervised by a clinician occurred with few technological problems. Only one session had to be rescheduled because of unresolved audiovisual communication problems. In 20 sessions, temporary problems were experienced, mostly related to the audiovisual signal (n=16), while few technical problems were associated with the sensors (n=1) and the interactive exercise software (n=1). The usability of the platform was very good, with an overall satisfaction rating of 4.63 +/- 0.43 (max. score=5) for all aspects evaluated, namely its dimension, safety, effectiveness, ease of use and game environment. These preliminary results support the reliability and usability of our new platform as a whole but highlight the challenges encountered in ensuring a stable audiovisual signal when delivering services via a standard home-based Internet connection.;2015;3
This longitudinal preliminary study aims to describe the components and features of the eChez-Soi home-based telerehabilitation platform, and present preliminary results on practitioners' readiness for and perception of its usability. Four patients receiving chemotherapy treatments for lung cancer followed an 8-week home-based telerehabilitation program with the new eChez-Soi platform and four healthy adults used it for 2 weeks. The users' perception was very good, with an overall satisfaction rate of 4.6 +/- 0.4 (max. score=5) for the patients, 4.8 +/- 0.2 for the healthy adults and 4.4 +/- 0.3 for the practitioners. Total practitioner telehealth readiness was 73.5 +/- 9.1 (max score=85), suggesting that certain items, for at least one practitioner, may adversely impact the use of telehealth. These preliminary results support the usability of this new platform and suggest that practitioner telehealth readiness is reinforced with experience.;2015;3
This paper focuses on the use of ICT in social rehabilitation, reporting on the research activity of the Latvian national science program VPP INOSOCTEREHI, a new three year multidisciplinary project on social telerehabilitation, conducted by four Latvian Universities (Rezekne University, Latvia University, Riga Technical University, and Liepaja University). The general project objective is presented, and the activities aimed at the creation of a portable, inexpensive balance disorder assessment system are illustrated. (C) 2015 Published by Elsevier B.V.;2015;3
This paper presents a novel mechatronics master-slave setup for hand telerehabilitation. The system consists of a sensorized glove acting as a remote master and a powered hand exoskeleton acting as a slave. The proposed architecture presents three main innovative solutions. First, it provides the therapist with an intuitive interface (a sensorized wearable glove) for conducting the rehabilitation exercises. Second, the patient can benefit from a robot-aided physical rehabilitation in which the slave hand robotic exoskeleton can provide an effective treatment outside the clinical environment without the physical presence of the therapist. Third, the mechatronics setup is integrated with a sensorized object, which allows for the execution of manipulation exercises and the recording of patient's improvements. In this paper, we also present the results of the experimental characterization carried out to verify the system usability of the proposed architecture with healthy volunteers.;2015;3
This paper presents a teleoperation system for two six-degree-of-freedom ARMin arm rehabilitation skeletons. Two control strategies are presented: unilateral teleoperation, which is realized with proportional-derivative controllers, and bilateral teleoperation, which is realized with compliance control and torque feedback. An empirical procedure for identifying the best control gains of the unilateral teleoperation system is presented, and the stability of the bilateral teleoperation system is demonstrated theoretically. Evaluations with healthy subjects showed that trajectories can be learned through the teleoperation system and that the torque feedback allows one human user to determine whether the other human is participating in the movement, resisting it, or remaining passive. The paper concludes with a discussion of potential applications of the system, including telerehabilitation and group rehabilitation.;2015;3
This paper presents a virtual reality system for assisted exercise using Wireless Body Area Network (WBAN). Sensor nodes with integrated accelerometer, gyroscope and magnetometer are used for orientation-driven visualization of human body motion. A virtual scene is created using Unity 3D game-engine. The scene involves virtual trainer for providing the visual guidance during exercise, and user's avatar for real-time tracking of the user's motion. The user is given direct feedback while exercising in form of textual and audio messages. Qualitative and quantitative assessment of the performance of each exercise is retrieved through the network. The application is deployed for use on mobile devices (e.g. smartphones, tablets) and PCs.;2015;3
This paper proposes the development of an innovative measurement system for telerehabilitation with the aim to provide objective evaluation of functional capacity of patients subject to lower limb rehabilitation. In particular the system has based on the set of wearable MEMs sensors which detect the 3D orientation of the limbs and communicate with a Central Remote Unit for storing and elaborating all measurement data. The proposed study has been performed under the research project PRO-DOMO SUD funded by Apulia Region within the Project Apulian ICT Living Labs.;2015;3
This perspective article will discuss the potential role of body-worn movement monitors for balance and gait assessment and treatment in rehabilitation. Recent advances in inexpensive, wireless sensor technology and smart devices are resulting in an explosion of miniature, portable sensors that can quickly and accurately quantify body motion. Practical and useful movement monitoring systems are now becoming available. It is critical that therapists understand the potential advantages and limitations of such emerging technology. One important advantage of obtaining objective measures of balance and gait from body-worn sensors is impairment-level metrics characterizing how and why functional performance of balance and gait activities are impaired. Therapy can then be focused on the specific physiological reasons for difficulty in walking or balancing during specific tasks. A second advantage of using technology to measure balance and gait behavior is the increased sensitivity of the balance and gait measures to document mild disability and change with rehabilitation. A third advantage of measuring movement, such as postural sway and gait characteristics, with body-worn sensors is the opportunity for immediate biofeedback provided to patients that can focus attention and enhance performance. In the future, body-worn sensors may allow therapists to perform telerehabilitation to monitor compliance with home exercise programs and the quality of their natural mobility in the community. Therapists need technological systems that are quick to use and provide actionable information and useful reports for their patients and referring physicians. Therapists should look for systems that provide measures that have been validated with respect to gold standard accuracy and to clinically relevant outcomes such as fall risk and severity of disability.;2015;3
"This study examined functional outcomes, health-related quality of life (HRQoL), and satisfaction in a group of Veterans who received physical therapy via an in-home video telerehabilitation program, the Rural Veterans TeleRehabilitation Initiative (RVTRI). A retrospective, pre-post study design was used. Measures obtained from 26 Veterans who received physical therapy in the RVTRI program between February 22, 2010, and April 1, 2011, were analyzed. Outcomes were the Functional Independence Measure (FIM); Quick Disabilities of the Arm, Shoulder, and Hand measure; Montreal Cognitive Assessment (MoCA); and the 2-minute walk test (2MWT). HRQoL was assessed using the Veterans RAND 12-Item Health Survey (VR-12), and program satisfaction was evaluated using a telehealth satisfaction scale. Average length of participation was 99.2 +/- 43.3 d and Veterans, on average, received 15.2 +/- 6.0 therapeutic sessions. Significant improvement was shown in the participants' FIM (p < 0.001, r = 0.63), MoCA (p = 0.01, r = 0.44), 2MWT (p = 0.006, r = 0.73), and VR-12 (p = 0.02, r = 0.42). All Veterans reported satisfaction with their telerehabilitation experiences. Those enrolled in the RVTRI program avoided an average of 2,774.7 +/- 3,197.4 travel miles, 46.3 +/- 53.3 hr of driving time, and $1,151.50 +/- $1,326.90 in travel reimbursement. RVTRI provided an effective real-time, home-based, physical therapy.";2015;3
Though studies on robot-mediated intervention for children with autism have gained momentum in recent years, not much work has been done to help therapists to have on-line access to robot programs. Telerehabilitation is an efficient solution to overcome barriers of access, remote locations, lack of autism therapists and cost in the delivery of rehabilitation services. In this study, a telerehabilitation system is developed to help therapists to concentrate fully on the intervention and not in robot programming. Robot scenarios are created based on consultation with clinicians and therapists and are available in the system via a website, with user-friendly graphical user interface (GUI). A survey with 15 therapists was carried out to get feedback on the system's usability. 80% of therapists agree that their overall first-time experience in using the telerehabilitation website was good. (c) 2015 Published by Elsevier B.V.;2015;3
"To date Total Knee Replacement (TKR) is one of the most performed procedures in Italy; likewise, rehabilitation after TKR accounts for 182 million of euro each year. The deployment of ICT was able to increase the efficiency in several areas, but in healthcare sector still fails to be widely adopted. According to management literature, business modelling is crucial for a product success and the stakeholder engagement is valuable as well. In this direction, we designed 4 telerehabilitation business/governance models through brainstorming session and developed them interviewing a large sample of the stakeholders involved into the telehealth arena. Whereas the decision makers highlighted the need of gradual changes in healthcare, the preliminary results showed the interest in exploring innovative governance pathways able to directly involve the patients in the healing process and reduce waiting lists over the regional healthcare service. Future research aims to capture the others stakeholders perspectives.";2015;3
