Abstract;Year
"Bebras is an award-winning, international contest and challenge in informatics that has been running for 12 years in primary and secondary schools, with 50 countries now participating. From a single contest-focused annual event the Bebras developed to a multifunctional challenge; an activities-based educational community-building network has grown up where the development of Bebras tasks has taken a very significant role. Bebras tasks present a motivating way to introduce computer science concepts to students as well as developing computational thinking skills. Tasks are categorized in terms of the concepts being covered, and each task includes an explanation of how the task relates to informatics. In this paper we propose that Bebras tasks can be used within the school curriculum (whether it is called informatics, computer science, computing or information technology) to promote computational thinking and provide teaching materials. We give examples of Bebras tasks that could be incorporated into the curriculum, and make recommendations for schools wishing to develop children's computational thinking skills.";2016
Children and animals of all kinds are said to develop some degree of number sense. The search for number neurons' and neural correlates of computational thinking aims to identify biological primitives to explain the emergence of number sense. This work typically looks for the sources of number sense in organisms, but one might extend this search and study the possibility of a calculating matter more generally. Such a speculative project explores the implications of the non-human turn within the posthumanities. In this paper, I draw primarily on the work of Vicky Kirby and Gilles Deleuze in order to focus on becoming-monster through calculation. I show how calculation, as a machinic and empirical act that both serves and troubles images of mathematical truth, has always played a unique role in the production of mathematical monsters. I then discuss calculating children who participate in abacus clubs and annual abacus competitions, calculating at inhuman rates with imaginary abacuses. I argue that a new materialist philosophy of immanence demands a radically new approach to number sense.;2016
Coding (programming) is a skill that nowadays is considered as an important asset. Teaching programming is an activity that becomes more and more popular. In the last few years there are great discussions on inclusion of coding in schools. These initiatives impacted the policy makers in Macedonia to include coding as a part of a new compulsory subject for the pupils at the age of 8. In this paper our focus is on the newest change in the Macedonian curriculum - the introduction of the course Working with computers and basics of programming, which can be shortly named as Computing in 2015. Here, we present the proposed and accepted curriculum with emphasis on the topics about computational thinking and programming. Then we discuss the available software and tools suitable for the implementation of the before mentioned topics, and present a newly developed game. At the end we explain the background of the teachers, give the format of the preliminary training of all primary school teachers in the country and present the first impressions of the trainers that conducted the training, and we elaborate the teachers' feedback.;2016
Coding has been recognized by the Italian National Plan for Digital School (PNSD) as one of fundamental disciplines to be introduced at school level to develop problem solving abilities. In order to reach such an objective, the University of Urbino offered for free a MOOC on Coding specifically devoted to school teachers through the European Multiple MOOC Platform (europeanmoocs. eu, Emma for short). Considering coding as a transversal skill, the objective of such a MOOC was then to generate a highly scalable process of teaching/learning involving a plethora of actors: school managers, ICTs ambassadors and animators, teachers, and pupils as final users. The MOOC was organized as a hands-on experience course, based also on live webinars, illustrating how to organize coding activities using only freely accessible online resources. This approach allowed teachers to learn the fundamental principles of coding together with their pupils and to apply computational thinking to any topic, with a non secondary effect: converting role of the teacher into an enabler factor, restoring their centrality, legitimation and social value. In this paper, we will explore the dimension of the experience, the relevance of pedagogies used, as well as the factors of success with empirical data on user profiles, previous learning experience as well completion rate.;2016
Computational Thinking (CT) has become popular in recent years and has been recognised as an essential skill for all, as members of the digital age. Many researchers have tried to define CT and have conducted studies about this topic. However, CT literature is at an early stage of maturity, and is far from either explaining what CT is, or how to teach and assess this skill. In the light of this state of affairs, the purpose of this study is to examine the purpose, target population, theoretical basis, definition, scope, type and employed research design of selected papers in the literature that have focused on computational thinking, and to provide a framework about the notion, scope and elements of CT. In order to reveal the literature and create the framework for computational thinking, an inductive qualitative content analysis was conducted on 125 papers about CT, selected according to pre-defined criteria from six different databases and digital libraries. According to the results, the main topics covered in the papers composed of activities (computerised or unplugged) that promote CT in the curriculum. The targeted population of the papers was mainly K-12. Gamed-based learning and constructivism were the main theories covered as the basis for CT papers. Most of the papers were written for academic conferences and mainly composed of personal views about CT. The study also identified the most commonly used words in the definitions and scope of CT, which in turn formed the framework of CT. The findings obtained in this study may not only be useful in the exploration of research topics in CT and the identification of CT in the literature, but also support those who need guidance for developing tasks or programs about computational thinking and informatics.;2016
Computational Thinking (CT) has been described as the use of abstraction, automation and analysis skills for problem solving, thus becoming a set of fundamental skills for the 21st century. Many initiatives have emerged to promote early development of CT skills. However, to date, there are no studies in which CT is developed in minority groups, such as individuals with Autism Spectrum Disorders. In this paper we present the design and evaluation of a Game Design Workshop aimed at teenagers with Autism Spectrum Disorders. An analysis of the artifacts produced by the participants of a pilot offering of the workshop was performed using a rubric for CT skills acquisition. The results showed that the participants, all of them with high-functioning autism and no previous experience with programming, acquired intermediate level skills related to CT.;2016
"Computational thinking (CT) is a fundamental skill for students, and assessment is a critical factor in education. However, there is a lack of effective approaches to CT assessment. Therefore, we designed the Three-Dimensional Integrated Assessment (TDIA) framework in this article. The TDIA has two aims: one was to integrate three dimensions (directionality, openness, and process) into the design of effective assessment tasks; and the other was to assess comprehensively the three dimensions of CT including computational concepts, practices, and perspectives. Guided by the TDIA framework, we designed three pairs of tasks: closed forward tasks and closed reverse tasks, semiopen forward tasks and semiopen reverse tasks, and open tasks with a creative design report and open tasks without a creative design report. To further confirm each task's applicability and its advantages and disadvantages, we conducted a test experiment at the end of the autumn semester in 2014 in a primary school for 3 weeks. The results indicated that (a) the reverse tasks were not more superior than the forward tasks; (b) the semiopen tasks and the open tasks were more effective than the closed tasks, and the semiopen tasks had higher difficulty and discrimination than the others; (c) the self-reports provided a helpful function for learning diagnosis and guidance; (d) the scores had no significant difference between the schoolboys and the schoolgirls in all six tasks; and (e) the six tasks' difficulty and discrimination were all acceptable, and the semiopen tasks had higher difficulty and discrimination than the others. To effectively apply them, the following suggestions for teachers to design computational tasks are proposed: motivating students' interest and enthusiasm, incorporating semifinished artifacts, involving learning diagnosis and guidance, and including multiple types of tasks in an assessment.";2016
Computational Thinking (CT) is considered a core competency in problem formulation and problem solving. We have developed the Computational Thinking using Simulation and Modeling (CTSiM) learning environment to help middle school students learn science and CT concepts simultaneously. In this paper, we present an approach that leverages multiple linked representations to help students learn by constructing and analyzing computational models of science topics. Results from a recent study show that students successfully use the linked representations to become better modelers and learners.;2016
Computational Thinking (CT) is considered a fundamental skill for everyone. Therefore, research has focused on defining age and grade-appropriate curricula for teaching CT. In this context, mobile programming can be a good means to foster CT. Indeed, the growing adoption of mobile devices, also among females, minorities, and all economic groups, provides a powerful opportunity for engaging students. Nevertheless, further issues need to be addressed, in particular in the context of liberal education. For example, most of the students enroll in these schools because they have higher interest for liberal arts, and perceive programming as a very difficult task. Also, issues can emerge when trying to introduce new courses into schools. In this paper, we describe a course, which aims at creating a mobile application with students having no background in software development. The main strategy to accomplish this is to foster and evaluate CT, with the support of development tools that ease the learning and application of CT skills. We report the results and the evaluation of a case study conducted in a social-economic high school, with a total of 29 students of 8th and 9th grade.;2016
Computational Thinking (CT) is gaining a lot of attention in education. In this study we focus on the CT aspect modeling and simulation. We conducted a case study analyzing the projects of 12th grade high school informatics students in which they made models and ran simulations of phenomena from other disciplines. We constructed an analytic framework based on literature about modeling and analyzed students' project documentation, recordings of student groups at work and during presentations, survey results and interviews with individual students. We examined how to discern the elements of our framework in the students' work. Moreover, we determined which data sources are suitable for observing students' learning. Finally, we investigated what difficulties students encounter while working on modeling and simulation projects. Our findings result in an operational definition of modeling and simulation, and provide input for future development of both assessment instruments and instructional strategies.;2016
Computational thinking (CT) is now considered either as an essential skill for the 21st century, either as the fundamental added value of digital literacy of citizens. This literature review aims to present computational thinking as a complex construct that is at the heart of 21st century skills development such as problem solving (PS) and collaboration skills, that can guide students to careers related to the field of science, technology, engineering and mathematics (STEM) disciplines, with high potential of employability and innovation, and, which can have an impact on economic productivity.;2016
Computational thinking has been gaining new impetus in the academic community and in K-12 level education. Scratch is a visual programming environment that can be utilized to teach and learn introductory computing concepts. There are some studies investigating the effectiveness of Scratch for K-12 level education. However, studies that have been conducted at the collegiate level, especially in the context of preservice computing teacher education, are very rare. The present study aimed to investigate the effect of Scratch-based instruction on preservice teachers' understanding of basic programming concepts and their attitudes toward programming. In the present study, a mixed method design was utilized. In the first phase of the study, the data were collected using an achievement test, a practice test, and a computer programming attitude scale. In the second phase of the study, data were collected through a semistructured interview. The results of the study indicated that preservice teachers in Scratch-based instruction had significantly better understanding of basic computing concepts. Qualitative data indicated that Scratch-based instruction was useful in constructing a more meaningful learning environment for preservice teachers. The results of this study have implications for researchers and preservice computing teacher educators when designing an introductory computing course.;2016
Computational Thinking has recently returned into the limelight as an essential skill to have for both the general public and disciplines outside Computer Science. It encapsulates those thinking skills integral to solving complex problems using a computer, thus widely applicable in our technological society. Several public initiatives such as the Hour of Code successfully introduced it to millions of people of different ages and backgrounds, mostly using Blocks Programming Environments like Scratch that lower the barriers of programming and facilitate learning. In this paper we present our arguments for fostering Computational Thinking skills using a Blocks Programming Environment augmented with a Tangible User Interface, namely by exploiting objects whose interactions with the physical environment are mapped to digital actions performed on the system. Our demonstration includes a working prototype implementing our Tangible Blocks Programming Environment called TAPAS.;2016
Computational thinking is an approach to problem solving that is typically employed by computer programmers. The advantage of this approach is that solutions can be generated through algorithms that can be implemented as computer code. Although computational thinking has historically been a skill that is exclusively taught within computer science, there has been a more recent movement to introduce these skills within other disciplines. Psychology is an excellent example of a discipline that would benefit from computational thinking skills because of the nature of questions that are typically asked within the discipline. However, there has not been a formal curriculum proposed to teach computational thinking within psychology and the behavioural sciences. I will argue that computational thinking is a fundamental skill that can easily be introduced to psychology students throughout their undergraduate education. This would provide students with the skills necessary to become successful researchers, and would also provide a practical and marketable skill to all psychology graduates.;2016
Computational Thinking is an essential skill for all students in the 21st Century. A fundamental question is how can we create computer affordances to empower novice teachers and students, in a variety of STEM and art disciplines, to think computationally while avoiding difficult overhead emerging from traditional coding? Over the last 20 years we have iteratively developed tools that aim to support computational thinking. As these tools evolved a philosophy emerged to support Computational Thinking by joining human abilities with computer affordances. Chief among these findings is that supporting Computational Thinking is much more than making coding accessible. Computational Thinking Tools aim to minimize coding overhead by supporting users through three fundamental stages of the Computational Thinking development cycle: problem formulation, solution expression, and solution execution/evaluation.;2016
Computational thinking is one of the hot current computer education concern. This paper describes the connotation of computational thinking and their current progress, and from the perspective of computational thinking to sort out basic computer course content university, and algorithms, databases and network technology preliminary analysis, to solve practical problems for the other areas of expertise to provide inspiration and the method of Reference.;2016
Computational Thinking was an important way to study computer science and it explained the relationships between human, calculation and computer in terms of thinking. The computer science was raised from the theory of tools to the height of thinking. This paper introduced three levels of Computational Thinking Computational Thinking in computer science, Computational Thinking in computing science and Computational Thinking in all subjects and analyzed the thinking characteristic of calculation and the calculation attribute of thinking. Through Computational Thinking, human can solve problems by using computer more efficiently. Therefore, the cultivation of Computational Thinking's ability was particularly important in teaching. But Computational Thinking cannot be taught without carrier and the programing course was the best way for they were closely related with each other. The paper took the Maze Problem as an example to express the differences between human and computer in the aspects of storage structure, thinking mode, solving procedure, etc. and it compared the human brain's multi-dimension and multi-forms characteristics with the computer's ne-dimension and one-form characteristics. The paper thought the goal of teaching was not to learn knowledge itself, but to form problem solving thinking;2016
Computational Thinking, which entails using analytic and algorithmic approaches to formulate, analyse and solve problems, has increasingly gained attention in the educational field in the past decade, giving rise to a large amount of academic and grey literature, as well as to numerous public and private initiatives to implement it. Despite such widespread interest, its successful integration in school curricula is still facing several open issues and challenges. In order to contribute to the field development, we are carrying out a desk investigation to draw a comprehensive overview of recent findings produced by academic research, grassroots initiatives and policy actions addressing the development of computational thinking in primary and secondary school, as well as to highlight major implications for policy and practice. In this paper we describe the project methodology and a classification of the comprehensive corpus of documents collected. We also present a preliminary picture of the field as it is emerging from our analysis.;2016
Computer science (CS) is not being taught at Czech grammar schools (15-18 years old students). In our effort to change that, we developed and piloted a basic CS course. It introduces the fundamental ideas of CS comprehensively and in relation to existing subjects and real world applications. In this paper we describe the course program briefly and present the part of evaluation that focuses on students' point of view. We assessed how they perceive the subject of CS in context of other school subjects using a questionnaire with a qualitative and a quantitative part. It turns out that our approach to CS is considered intellectually very demanding, yet this does not seem to affect other features (interest, usefulness) too negatively. CS does not show extreme values in other measured attributes in comparison to other science subjects.;2016
Computer science education in K-12 and for non-majors at university often aims at making students confident with computational thinking by introducing them to programming. We are convinced that such programming classes offer a great opportunity to expose students to core concepts of computer science and thereby contribute to a broad and general education. In this article, we describe our approach and experiences with teaching programming at various levels, namely at primary schools, high schools, and universities. We identify a set of goals that allow us to go beyond the pure teaching of specifics of a given programming language, i.e., syntactical details, and shift the focus towards sustainable topics such as algorithms as problem solving methods and their analysis.;2016
Computer science is becoming ever increasingly important to our society. Computer science content has, however, not traditionally been considered a natural part of curricula for primary and secondary education. Computer science has traditionally been primarily a university level discipline and there are no widely accepted general standards for what computer science at K-12 level entails. Also, as the interest in this area is rather new, the amount of research conducted in the field is still limited. In this paper we review how 10 different countries have approached introducing computer science into their K-12 education. The countries are Australia, England, Estonia, Finland, New Zealand, Norway, Sweden, South Korea, Poland and USA. The studied countries either emphasize digital competencies together with programming or the broader subject of computer science or computing. Computational thinking is rarely mentioned explicitly, but the ideas are often included in some form. The most common model is to make computer science content compulsory in primary school and elective in secondary school. A few countries have made it compulsory in both, while some countries have only introduced it in secondary school.;2016
Computers cause an impact in almost every single aspect of our lives, however, unfortunately, schools have not been able to keep up with this irreversible evolution. The simple use of technological apparatuses in the classroom does not guarantee the improvement of the learning process, however it can be the medium through which the students find the alternatives for the solution of complex problems. The Computational Thinking is an approach of teaching that uses a diverse range of techniques derived from computers for the resolution of these problems combined with the new competencies of the 21st century (critical thinking, collaboration, etc.). The adoption of the notion of Computing within the basic education schools is a concern in many countries, where the implementation occurs in a strict way. Admittedly, it grows the idea that the Computing discipline is very distinct from the computer classes and that the use of skills from Computing possesses educational (reflection and problem solving, the comprehension that the world is ingrained with the digital technology) and economic (high demand of professionals with good training) benefits. This article, through the vast bibliographic review, describes an international landscape of countries of all Americas, in order to contextualize the reader in respect to the adoption of Computational Thinking within the basic education schools.;2016
Considering the present situation of PhotoShop teaching in Colleges and universities, most attention is paid on the imparting knowledge and skills, but the refined thinking is ignored. In this paper, a new method is introduced by cultivating students' computational thinking in the Heuristic teaching based on mind mapping and driving teaching. This method sums up the significance of the computational thinking in the teaching of PhotoShop in Colleges and Universities. The experimental results show the method can help students cultivate the ability of computational thinking, so as to achive the aim of innovation on PhotoShop usage.;2016
Core subjects by field of knowledge for official University studies have been established in Annex II of the RD 1393/2007. Computer Science appears only in Engineering and Architecture Degrees. It is therefore necessary that the training received by high school students in the Computer field is not limited only to the intrinsic knowledge of current digital technologies and their immediate practical uses. It is crucial that the training also focuses on the development of skills that enable students to adapt to new technologies that might emerge in the future, especially, in the field of smart education and next generation smart classrooms. Whereas computational thinking may be the most appropriate for developing such skills, in this work, a particular proposal for measuring the development of computational thinking abilities in students is described, together with the results obtained in an experiment carried out during the practicum of the Master's Degree in Secondary School Teaching from the Universidad de La Laguna.;2016
Critical computational literacy (CCL) is a new pedagogical and conceptual framework that combines the strengths of critical literacy and computational thinking. Through CCL, young people conceptualize, create, and disseminate digital projects that break silences, expose important truths, and challenge unjust systems, all the while building skills such as coding and design. This empirical study of CCL is based at Youth Radio, a nationally recognized multimedia production company in Oakland, California. Using embedded ethnographic methods, we focus on one collaborative project inside Youth Radio's Interactive department, where young people partnered with adult colleagues to produce a web-based interactive map of gentrification in a West Oakland neighborhood. Findings demonstrate a highly sophisticated knowledge production process where youth are simultaneously contending with content, message, audience, aesthetics, design, functionality, execution, and the long-term ramifications or digital afterlife of their work. Through learning environments organized around critical computational literacy, young people emerge as critical problem-solvers unified by the technical know-how and the critical consciousness necessary for them to leverage digital tools for social transformation.;2016
"Critical thinking and problem solving are fundamental skills to function successfully particularly in today's world. When programming, these skills are promoted, developed and deployed. In this context, Universidad ORT Uruguay and The University of Edinburgh co-created in 2015 a MOOC (Massive Open Online Course) that teaches young teenagers how to program. The course was implemented simultaneously in 2 versions: in Spanish, called !A Programar!and in English, called Code Yourself!, which are available on the Coursera platform. Since its launch in March 2015, more than 139,000 people from 197 countries have registered. Initially it was offered in a fixed session; while currently it is offered in an autocohort mode. In both cases, students' surveys indicate that the course has met or exceeded expectations (values above 93%). In this paper, we detail the characteristics of the MOOC, and we analyze and compare the modes and results.";2016
Croatian curriculum reform started in February 2015 as one of measures in Strategy for education, science and technology. During first phase of curriculum reform 55 documents were created - for all levels of pre-tertiary education, all subjects, cross curricular topics and frameworks for assessment, special education and gifted education. One of subject curriculum document is for subject Informatics whose authors are: Predrag Brodanac, Nikolina Bubica, Lidija Kralj, Zlatka Markucic, Marina Mirkovie, Maristela Rubie and Darka Sudarevie with support: Antonela Czwyk Maric, Viktorija Hrzica and Branka Vuk. Aims of subject Informatics are to enable students to become digitally literate, to develop computational thinking, digital wisdom, critical thinking and use technology effectively, responsibly and respectfully. In order to reach that aims curriculum of Informatics is organized in four domains: Information and digital technologies, Computational thinking and programming, Digital literacy and communication and E-society.;2016
Current policy efforts that seek to improve learning in science, technology, engineering, and mathematics (STEM) emphasize the importance of helping all students acquire concepts and tools from computer science that help them analyze and develop solutions to everyday problems. These goals have been generally described in the literature under the term computational thinking. In this article, we report on the design, implementation, and outcomes of an after-school program on computational thinking. The program was founded through a partnership between university faculty, undergraduates, teachers, and students. Specifically, we examine how equitable pedagogical practices can be applied in the design of computing programs and the ways in which participation in such programs influence middle school students' learning of computer science concepts, computational practices, and attitudes toward computing. Participants included 52 middle school students who voluntarily attended the 9-week after-school program, as well as four undergraduates and one teacher who designed and implemented the program. Data were collected from after-school program observations, undergraduate reflections, computer science content assessments, programming products, and attitude surveys. The results indicate that the program positively influenced student learning of computer science concepts and attitudes toward computing. Findings have implications for the design of effective learning experiences that broaden participation in computing.;2016
Designing games requires a complex sequence of planning and executing actions. This paper suggests that game design requires computational thinking, and discusses two methods for analyzing computational thinking in games designed by students in the visual programming language Scratch. We present how these two analyses produce different narratives of computational thinking for our case studies, and reflect on how we plan to move forward with our larger analysis.;2016
Developing students' 21st century skills, including creativity, critical thinking, and problem solving, has been a prevailing concern in our globalized and hyper-connected society. One of the key components for students to accomplish this is to take part in today's participatory culture, which involves becoming creators of knowledge rather than being passive consumers of information. The advancement and accessibility of computing technologies has the potential to engage students in this process. Drawing from the recent publication of two educational frameworks in the fields of computational thinking and media & information literacy and from their practical applications, this article proposes an integrated approach to develop students' 21st century skills that supports educators' integration of 21st century skills in the classroom.;2016
"Digital competence is, besides a right promoted by European Union, a necessity of all citizens that should be taught and provided from early years and during all the life. Although technology is a common matter for young people, its use and its competences have differences among countries, cultures, status, residence places, etc., even within the members of the same family. At the same time, nowadays computing, because of its ubiquity and role in innovation, has become an essential tool for competition in the increasingly global knowledge economy. Therefore, we propose to go beyond digital competence and to use the computational thinking. Computational thinking involves solving problems, designing systems, and understanding human behavior, by drawing on the concepts fundamental to computer science. Computational thinking includes a range of mental tools that reflect the breadth of the field of computer science. There are four key concepts within computational thinking, where each one is as important as the others: decomposition, that is, breaking down a complex problem or system into smaller, more manageable parts; pattern recognition, or looking for similarities among and within problems; abstraction, in the sense of focusing on the important information only, ignoring irrelevant detail; and algorithms, which we can define as the process to develop a step-by-step solution to the problem, or the rules to follow to solve the problem. Our objectives are to implement the computational thinking in the Secondary School at a first level and to design materials for a quick and easy way of using by teachers and students. Methodology to achieve these objectives is divided in several steps that can be briefly explained as spreading the concepts of computational thinking, training in this matter, generating some materials as examples of the implementation, learning to use these materials and promoting to generate new materials by teachers. In the scope of the process, we try to involve all type of subjects, with special emphasis in STEM subjects because the obvious reason that they are easier to be implemented with simple examples. We present in this paper a summary of the meaning and uses of the computational thinking and an analysis of the chance to integrate it in the curricula in a transversal way, without the necessity of generating or implementing a new curriculum.";2016
Digital game design is a complex activity relying on multiple skills of the 21st century as such creativity, problem solving, collaboration in interdisciplinary teams and computational thinking. The complexity of the knowledge modelling and creation process, game design is a powerful learning activity that could benefit in learning from childhood to older adults. Our experiences take advantage of the digital game design as a complex learning activity and engages learners from different age groups in a joint activity. In this paper, we analyze the scaffolding process of intergenerational game design activities as an instructional learning strategy. We argue that the process could help learners from different ages and backgrounds to collaborate together in doing progressive steps through their game design process.;2016
"Digital native generations have been technology consumers all their lives, but they have never created anything with it and they have no idea how these technologies work. Computational thinking has not been fostered within the digital-native generations, in a way to encourage the development of other important skills, such as reasoning, problems solving, logic, creativity, perseverance and working as part of a team. These skills are a basic mechanism for the day-to-day life and for the understanding of STEM subjects like mathematics, physics, technology or science. We aim that our children should be educated to be capable of contributing to that digital frame with maturity and critical attitude. To do that, children should learn how to program from a very early stage at school and to familiarize with electronics and mechanical topics; for that reason, robotics is the perfect discipline to combine all of them. Only teachers with an electronic background dare to make use of isolated electronic components. Therefore, we offer a methodology supported by a book and on-line resources to teach robotics with Arduino and Scratch. Firstly, an introduction to electronics topic and a basic programming with a graphical language and, finally, gathering all that knowledge to build up a robot from scratch. In order to guide students and teachers on how to correctly assembly the electronic components, augmented reality will also be used. This paper describes the development of an augmented reality book that can be used by students to learn electronics and computer programming. Students whether they are alone, in groups, at home or in the classroom can use mobile devices (smartphones or tablets) through augmented reality to help them in the electronics assembly. We believe that the use of augmented reality will change significantly the teaching activities by enabling the addition of supplementary information that they will be able to see on a mobile device and complement the other supplied materials. As a result, the young aged 12 to 16 will learn how to program, topics of electronics and how to build a robot, while they are developing their computational thinking and reinforcing their knowledge about science, physics, mathematics, oral and written expression, while working in a group, among others skills.";2016
Digital technologies have reshaped our experience of the material world. In this augmented and hybridized condition, information (and architecture) has no social relevance unless circulated, shared, and integrated into everyday life through interfaces between the digital and physical. The `more serious work' presented here is digital craft as a method for materializing the digital and extending the agency of computational thinking and parametric design into a new social project for architecture. In an age of digital social networks, the future of public spaces will largely depend on an architecture that navigates the interface between the material and the digital.;2016
Digital technologies have reshaped our experience of the material world. In this augmented and hybridized condition, information (and architecture) has no social relevance unless circulated, shared, and integrated into everyday life through interfaces between the digital and physical. The 'more serious work' presented here is digital craft as a method for materializing the digital and extending the agency of computational thinking and parametric design into a new social project for architecture. In an age of digital social networks, the future of public spaces will largely depend on an architecture that navigates the interface between the material and the digital.;2016
During the recent years computational thinking has been actively promoted through the K-12 curriculum, higher education, contests, and many other initiatives. Computational thinking skills are important for a further students' educational and professional career. Our focus is on computational thinking for software engineering novice students, a term meant to encompass a set of concepts and thought processes that are helpful in formulating problems and their solutions. Annually organized international challenge on Informatics and Computational Thinking Bebras'' has developed many tasks to promote deep thinking skills in this area. It is important to motivate students to solve various informatics or computer science tasks and evaluate their computational thinking abilities. The paper presents a study conducted among first-year students of software engineering, studying the structured programming course. As an instrument to measure computational thinking, a test of internationally approved and well-preselected tasks from the Bebras'' challenge has been suggested and validated. The correlation between the students' test results and the structured programming course results has been investigated. We conclude with a discussion and future directions to enhance computational thinking skills of novice software engineering students.;2016
EarSketch lowers the barriers to entry and broadens engagement in computer science through expressive and culturally relevant music composition. In EarSketch, students write computer code to remix sound samples into original music compositions, often within hours of first exposure to the application. Coupled with sound samples rooted in modern music genres, EarSketch generates deep student engagement. We observed two unexpected challenges when implementing EarSketch in high school Computer Science Principles courses. First, music that appeals to the students' generation may be difficult for teachers to appreciate (and vice versa). Second, while a majority of students engaged in music production and coding, we observed that some students fixated on artistic musical expression without engaging in substantial computational thinking. These findings may apply more broadly in computational courses situated in expressive domains and to STEAM courses in general. We conclude with suggested changes to professional development, which may be applied more generally to creative computation and STEAM-based courses.;2016
Educational robotics are increasingly integrated in education. In some cases, robots are used as an extracurricular activity which is not oriented towards the learning objectives of the curriculum or follows a procedural approach which does not engaged the learner in a creative knowledge inquiry, construction and application process. In some cases, educational robotics are integrated in the classroom as knowledge modelling tools. The pedagogical potential of educational robotics for knowledge modelling is based on the combination of constructivism [1] and constructionism approaches [2] engaged in the modelling, programming and evaluation tasks in project-oriented robotics. This presentation introduces two type of educational learning activities supported by the LEGO WeDo robotic kit.;2016
Fundamentals of Computer is a compulsory course of non-majors in many universities of China. In this paper, we explore the reform on this course for two goals. One is to redesign the teaching content: from operation oriented to computational thinking oriented. Computational thinking is one of the most important ability for 21st century and has become the primary goal of computer foundation education. New content covers the basic principles of computer science as well as the fundamental ways of thinking and problem solving with computer. The second goal is to improve teaching methods by leveraging mobile technology. We propose the use of MIT App Inventor, which is a simple tool for creating mobile applications for Android. Students with no prior knowledge of programming can create entertaining and socially useful applications with App Inventor while practicing computational thinking.;2016
Game developers have been using commercial game engines to create serious games. The development of serious game is a process that requires game and instructional design. Constructionist environments and games are becoming more popular in the last years because of the importance of Computational Thinking to develop problem solving skills. Despite this popularity, there is a lack of available game engines and frameworks to develop this kind of games. This paper proposes a game engine architecture to support the affordable development of constructionist games. The game engine specification describes components of game, instructional and constructionist elements as a low-level definition that facilitates direct implementation. A serious game built upon this specification and used by 96 students is also presented in this paper. This validation provided some future work ideas, as an editor tool, SDK and API.;2016
How can educational technologists most effectively support children in their development of computational thinking? This project attempts to integrate recent evidence from embodied cognitive science with concreteness fading: an instructional theory popular in mathematics and science education. Through a series of classroom studies, I will investigate the effectiveness of the concrete-pictorial-abstract sequence, and the relative benefits of physical and virtual implementations of the concrete stage. Results will be used to guide the development of an interactive learning environment for use in primary school classrooms.;2016
How can elementary grade teachers integrate programming and computational thinking with the science curriculum? To answer this question, we present results from a long-term, design-based, microgenetic study where 1) agent-based programming using ViMAP was integrated with existing elementary science curricula and 2) lessons were taught by the classroom teacher. We present an investigation of the co-development of children's computational thinking and scientific modeling and show that the integration of programming with scientific modeling can be supported by the development of sociomathematical norms for designing mathematically good computational models.;2016
